Trial,Temp_RMSE,Temp_MAE,Hum_RMSE,Hum_MAE
01-19-2026 21:53:54,1.3988984761078467,1.354914360314626,1.9277443051505065,1.6733190320810003
01-19-2026 21:54:01,0.8159500109883498,0.3355021382402112,5.065795175786453,4.859981630743928
01-19-2026 21:54:11,0.3446846460410328,0.22141400757940255,1.6600257886526704,1.571051362192275
01-19-2026 21:54:27,0.318644804537077,0.25095554009239934,2.791317794168684,2.5907288942354936
01-19-2026 21:54:34,0.4668612076940556,0.4101304899854996,1.3201824091302112,1.1276273214692514
01-19-2026 21:54:50,1.2127924272937778,1.1832769596255523,1.2736404389741927,1.0844058545621045
01-19-2026 21:54:56,0.664682150014142,0.5845252053774779,4.636775431879643,4.383029030585849
01-19-2026 21:55:04,0.4932082072924055,0.37521950911750274,1.1299640431609064,0.8193324080303764
01-19-2026 21:55:10,0.5406072143306375,0.48557136963696457,2.579725675712973,2.1494946369636962
01-19-2026 21:55:18,0.5988928707084641,0.5819710733685065,3.0484555887035425,2.5986862807636397
01-19-2026 21:55:27,0.624726789300385,0.5905359996056135,1.9711788203651204,1.7586001747727875
01-19-2026 21:55:35,0.6786077652881268,0.6052255327133818,2.063111986134396,1.8448366576441728
01-19-2026 21:55:52,0.495322808381817,0.42249846974466654,1.2847531643352454,1.1888778856243443
01-19-2026 21:55:59,0.23483948061546667,0.19015612547320127,4.058787918957365,3.823767838463837
01-19-2026 21:56:06,0.26366195658453,0.2168148063391393,2.1543643929389957,1.7541166277520563
01-19-2026 21:57:25,0.639679877985888,0.534545778353418,2.4295706826271632,1.9203321415139092
