trial_id,group,system,n_droplets,n_events,pct_censored,HR_distance,coef_distance,p_distance,HR_dist_ci_lo,HR_dist_ci_hi,HR_logR0,p_logR0,concordance,p_interaction,HR_interaction,PH_p_distance,PH_p_logR0
0.5to1.2,0.5:1,Fungi,337,334,0.8902077151335286,0.6897748282476746,-0.3713900705229057,3.907969196533459e-09,0.6095615217089431,0.7805435493208369,2.901674299794546,7.137835692774137e-06,0.6167337497951081,0.29683090745443996,1.0929729790840166,0.2470683681833622,0.24239904305917237
0.5to1.3,0.5:1,Fungi,552,550,0.36231884057971175,0.4816054053904481,-0.7306301612331367,1.489288737397749e-28,0.4232388526663176,0.5480209698143256,1.2472164315694296,0.23606035209679874,0.7039110264936179,0.0003745988876812204,1.2845535529899486,0.16853367748532577,0.03931405683825947
0.5to1.4,0.5:1,Fungi,614,613,0.16286644951140072,0.6650052299609353,-0.40796037375429856,1.0562094611526963e-12,0.594392690453735,0.7440063832847855,0.6131882385934775,0.002370047516818031,0.6133982116954253,0.03296374953834326,1.1717349185446442,0.4914740139744058,0.8128715925598429
0.5to1.5,0.5:1,Fungi,762,758,0.5249343832021025,0.40617626492396924,-0.9009680635372356,9.695666110005391e-51,0.3610143690277478,0.45698778869077655,1.2100577890102235,0.17399848352498468,0.7084718018189644,0.27787343111566853,1.0713499585013841,0.03230503172607042,0.007505637586050883
0.5to1.7,0.5:1,Fungi,498,496,0.40160642570281624,0.49482057483325015,-0.7035600572077626,6.849856478084013e-19,0.4236301065677657,0.5779745053108998,1.4560395970287243,0.010015694567483387,0.6656849275624624,1.8410893758203849e-07,1.4717917219077812,0.20955993253370445,0.1895138127927435
1to1.1,1:1,Hydrogel,520,520,0.0,0.6363955692236226,-0.451934944793492,8.528927024323329e-11,0.5552160684747871,0.7294445235348048,0.6700542955904376,0.026631161248784913,0.6128182616330115,0.08745412949773616,1.1334541457171075,0.7448523541145846,4.344599984929403e-07
1to1.2,1:1,Hydrogel,1030,1022,0.7766990291262155,0.5416960611685286,-0.6130502075861287,1.3158809657328453e-30,0.4879553280281563,0.6013555049624673,0.5966627755610923,0.00041259222728185684,0.6495544591912557,2.4244844446975115e-05,1.3399212243657679,0.002985846295961335,1.3781533524551387e-05
1to1.3,1:1,Hydrogel,844,840,0.4739336492891044,0.714357765686909,-0.3363713697467746,8.39418467528068e-11,0.6453889614789229,0.7906968477239107,0.5927675143659856,0.0007144148764670296,0.5937542130520712,4.592540533397879e-05,1.339655800971953,0.00084329295154463,9.169813415457107e-15
1to1.4,1:1,Hydrogel,925,924,0.108108108108107,0.7842907874624181,-0.24297542502347852,2.5740683727009978e-06,0.708749837401034,0.8678831469704723,0.35778381947717913,2.6812638726806583e-12,0.5891767074500187,0.019441657765873373,1.1757078025040018,0.41574564719218987,0.0792029230402508
1to1.5,1:1,Hydrogel,884,878,0.6787330316742057,0.6810526825001993,-0.3841156153252353,1.1894328239571387e-14,0.6177501460202622,0.7508420019466958,0.6296328698557926,0.0004236528480710657,0.6130727946813985,3.81535961668807e-08,1.447835208856179,0.0004324000849283849,1.8836969900616468e-06
2to1.1,2:1,Hydrogel,801,778,2.871410736579272,0.3961058723768246,-0.9260737489735678,8.818374846534352e-36,0.34251715480622463,0.45807884343827876,0.6287205997813955,0.010408248300459924,0.6964760562555128,0.0016604162556696357,1.308194119706246,0.2298102071230384,0.03778159420845576
2to1.2,2:1,Hydrogel,454,446,1.7621145374449365,0.6066914704315338,-0.4997349030884838,1.0173695259929764e-13,0.5318427735898509,0.6920739710533892,0.7749819845967588,0.11533429953346941,0.6482661996497373,1.5813259848008625e-05,1.510162539733512,0.0004648332765768364,0.28180531740488485
2to1.3,2:1,Hydrogel,1013,1001,1.1846001974333609,0.3772049852666705,-0.9749665118025619,8.239848646989483e-48,0.3307101905724796,0.43023651815424097,0.444818274979488,1.6232998575347825e-06,0.6826710010348838,0.0018429484373743905,1.2993764985426182,0.12693397628015707,0.001683319069908424
2to1.4,2:1,Hydrogel,626,559,10.702875399361023,0.24166619509870957,-1.4201978641131603,7.651234872041045e-44,0.19777062341395885,0.295304473664138,2.0443088258644,0.0002741431244688902,0.6883000052917209,0.5102223173728355,1.0658745609190932,0.9168652724118647,0.003753562305105415
2to1.5,2:1,Hydrogel,469,466,0.6396588486140775,0.34920491719715424,-1.0520963737952287,3.76549875764435e-28,0.2895188812528495,0.421195583745615,2.8399969753728205,2.5819746321537944e-07,0.6600743840074385,0.026788039804269127,1.256488507260813,0.903358357989664,0.01527764454752206
Black.2,Black,Fungi,986,635,35.59837728194726,0.9677750726023111,-0.03275558172016928,0.4009694833421499,0.8965566629030107,1.0446507509271934,0.5659274900700917,0.00637726356505341,0.508047255038221,0.9118010421535402,0.9943817997894863,0.0018888526916080372,6.32527437003382e-05
