x,y
5787.516274491134,1387.731707317073
5784.809784907938,1467.4628173946553
5776.700997436257,1546.879265206441
5763.2219137556895,1625.6676303148404
5744.425729651515,1703.5169710377509
5720.3866250752335,1780.1200515933197
5691.199471390184,1855.1745546192128
5656.979456957622,1928.3842742811278
5617.861632540871,1999.4602852618982
5574.000378321674,2068.122083017724
5525.56879463213,2134.0986908014543
5472.758018806779,2197.1297290840116
5415.776470850853,2256.9664431534375
5354.849030901741,2313.372684836093
5290.216151729823,2366.1258444656187
5222.132909781237,2415.0177294215823
5150.867998507679,2459.85538577064
5076.702667956105,2500.46185976756
4999.929614803285,2536.6768962108076
4920.8518272157435,2568.357570896619
4839.781389093881,2595.378854675533
4757.038248419407,2617.6341068853244
4672.948954566817,2635.0354962129786
4587.845369562203,2647.5143473247576
4502.063358375449,2655.021411896368
4415.941463414636,2657.527062973598
4329.819568453823,2655.021411896368
4244.037557267068,2647.514347324757
4158.9339722624545,2635.0354962129786
4074.8446784098646,2617.6341068853244
3992.10153773539,2595.378854675533
3911.0310996135286,2568.357570896619
3831.953312025986,2536.676896210807
3755.180258873167,2500.4618597675594
3681.014928321593,2459.85538577064
3609.7500170480357,2415.0177294215823
3541.6667750994493,2366.1258444656187
3477.0338959275314,2313.372684836093
3416.106455978419,2256.966443153437
3359.124908022493,2197.129729084011
3306.3141321971416,2134.0986908014543
3257.882548507598,2068.122083017724
3214.021294288401,1999.4602852618982
3174.9034698716505,1928.3842742811275
3140.683455439087,1855.1745546192126
3111.4963017540385,1780.1200515933194
3087.457197177757,1703.5169710377509
3068.661013073582,1625.6676303148404
3055.181929393015,1546.8792652064408
3047.0731419213344,1467.462817394655
3044.366652338138,1387.7317073170725
3047.0731419213344,1308.0005972394906
3055.181929393015,1228.584149427705
3068.6610130735826,1149.7957843193053
3087.457197177757,1071.9464435963948
3111.4963017540385,995.3433630408258
3140.6834554390875,920.2888600149327
3174.9034698716505,847.0791403530183
3214.021294288401,776.0031293722476
3257.8825485075986,707.3413316164218
3306.3141321971416,641.3647238326914
3359.1249080224934,578.333685550134
3416.1064559784195,518.4969714807087
3477.0338959275314,462.0907297980526
3541.6667750994498,409.337570168527
3609.7500170480353,360.44568521256383
3681.0149283215937,315.6080288635055
3755.180258873167,275.0015548665865
3831.953312025987,238.78651842333807
3911.0310996135286,207.10584373752658
3992.10153773539,180.08455995861277
4074.844678409865,157.8293077488213
4158.9339722624545,140.42791842116753
4244.037557267069,127.94906730938828
4329.819568453823,120.44200273777778
4415.941463414636,117.93635166054787
4502.06335837545,120.44200273777778
4587.845369562203,127.94906730938828
4672.9489545668175,140.42791842116753
4757.038248419408,157.82930774882152
4839.781389093881,180.08455995861254
4920.8518272157435,207.1058437375268
4999.929614803285,238.7865184233383
5076.702667956106,275.00155486658673
5150.867998507679,315.60802886350575
5222.132909781238,360.44568521256406
5290.216151729823,409.33757016852746
5354.849030901741,462.09072979805273
5415.776470850853,518.4969714807092
5472.758018806779,578.3336855501344
5525.568794632131,641.3647238326924
5574.000378321674,707.3413316164224
5617.861632540871,776.0031293722477
5656.979456957622,847.0791403530188
5691.199471390185,920.2888600149332
5720.386625075234,995.343363040827
5744.425729651515,1071.9464435963955
5763.2219137556895,1149.7957843193055
5776.700997436257,1228.5841494277056
5784.809784907938,1308.0005972394906
