x,y
4700.8374683839875,1244.8636259435884
4700.337627499357,1282.6559842492152
4698.838603097732,1320.4106703101875
4696.341889439234,1358.0900494343646
4692.849975302337,1395.656561997197
4688.366341502994,1433.072760881979
4682.895457424884,1470.3013488079475
4676.442776564235,1507.3052155090236
4669.014731093658,1544.0474747261321
4660.618725450423,1580.491500976228
4651.263128955548,1616.6009660613731
4640.957267471081,1652.3398752814742
4629.711414103877,1687.6726033145833
4617.5367789651455,1722.5639297289936
4604.445497995961,1756.97907409173
4590.450620869898,1790.8837306384437
4575.566097984833,1824.244102470142
4559.80676655688,1857.0269352426735
4543.188335830334,1889.199550315381
4525.727371418358,1920.7298773258804
4507.44127879001,1951.5864861584982
4488.348285920104,1981.7386182744904
4468.467425119158,2011.1562173728255
4447.818514061582,2039.8099593509592
4426.422136030982,2067.6712815357364
4404.299619402303,2094.712411155284
4381.47301638123,2120.906393023516
4357.965081022081,2146.22711640965
4333.799246546064,2170.649341065947
4308.999601982535,2194.1487223877443
4283.590868156529,2216.701835680683
4257.598373046504,2238.2861995109565
4231.0480265368615,2258.88029811529
4203.966294590409,2278.463602848319
4176.380172866518,2297.016592645998
4148.317159811252,2314.5207734846094
4119.805229246332,2330.958696816021
4090.8728024842117,2346.3139769607687
4061.5487199970994,2360.5713074416626
4031.8622126681503,2373.716476241617
4001.842872653479,2385.736379970494
3971.520623884065,2396.6190369268534
3940.925692236917,2406.353599041568
3910.0885754052706,2414.9303626914184
3879.0400124978178,2422.340778371874
3847.8109533972975,2428.577459219425
3816.43252790898,2433.6341883749697
3784.9360147298003,2437.5059251809134
3753.35281026907,2440.188810205807
3721.714397351855,2441.680169091512
3690.0523138362137,2441.978515219056
3658.3981211755704,2441.083551190533
3626.7833729575727,2438.996169125547
3595.2395834507925,2435.7184497719386
3563.798196190612,2431.2536604316415
3532.490552635629,2425.606251703768
3501.347860925807,2418.781853048157
3470.4011647735224,2410.787267173802
3439.681312518518,2401.6304632577667
3409.2189263776067,2391.3205690013333
3379.0443719197788,2379.8678615313133
3349.187727797143,2367.2837571555815
3319.678755761874,2353.580799983055
3290.546870999046,2338.772649419449
3261.821112804942,2322.87406655129
3233.5301156400465,2305.900899431737
3205.702080585597,2287.8700672829004
3178.3647472321295,2268.799543630395
3151.5453660280546,2248.7083383869376
3125.270671115814,2227.616478902851
3099.56685368271,2205.5449900023664
3074.4595358529577,2182.5158730256244
3049.973745146994,2158.5520838972548
3026.133889533504,2133.6775102434185
