time_min,distance_bin_um,mean_radius_um,std_radius_um,n_droplets,sem_radius_um
1.5,1300.0,38.68652057884441,8.089587215919718,12,2.335262678372102
1.5,1500.0,38.55705974117721,9.493676739414889,12,2.740588410550237
1.5,2100.0,45.56880462599205,9.985557551251961,10,3.1577105568649744
1.5,2300.0,49.829880632289836,14.158576427541103,10,4.477334993659984
1.5,2700.0,37.74242925525255,6.486612516893781,11,1.9557872617235952
1.5,2900.0,36.69052045033693,12.877059631143462,13,3.5714537520996266
4.0,1500.0,18.75006143647039,3.7927652480096796,10,1.1993776814043993
4.0,1700.0,18.876472651198256,4.862630118984025,13,1.3486509405855733
4.0,1900.0,22.64410035524945,6.025954028848489,19,1.3824486657985442
4.0,2100.0,20.80470167052596,4.338088969923984,30,0.7920230617639051
4.0,2300.0,19.032009733798727,3.738474653689905,12,1.0792046738332295
4.0,2900.0,21.07563548136591,3.4240553051980784,11,1.0323915189788968
4.5,1100.0,22.99253308522675,4.575707159275328,12,1.3208928800702542
4.5,1300.0,22.69921170184014,4.580417605091665,14,1.2241680976143312
4.5,1500.0,22.60550519345849,4.33567631912027,15,1.119466811899912
4.5,1700.0,21.827556767896283,5.299289752369374,14,1.4162947604720229
4.5,1900.0,25.426671558652924,6.195780889547602,22,1.3209449240339497
4.5,2100.0,24.260189114386705,5.543223314581768,36,0.9238705524302948
4.5,2300.0,21.385100302264124,4.424131264798077,27,0.8514244588871362
4.5,2500.0,23.496179982012478,5.37874484865961,18,1.2677823189198072
4.5,2700.0,25.052196594681348,5.149069613456401,18,1.2136473468255389
4.5,2900.0,24.06357563052246,5.395613271486603,28,1.0196750633595129
5.0,1100.0,26.843341258246955,4.404377551470712,14,1.1771194142572656
5.0,1300.0,25.789445510459007,3.0413010359168613,12,0.8779479858866441
5.0,1500.0,25.122796960734387,5.3788137419434285,20,1.2027393165295512
5.0,1700.0,25.797225945552054,6.493147677997262,19,1.489630239677676
5.0,1900.0,28.43693040785311,6.906504696535288,29,1.2825057252445173
5.0,2100.0,26.517144913622175,5.948366347513122,47,0.8676584067063636
5.0,2300.0,25.23230040144693,6.208230279097531,33,1.0807141746184856
5.0,2500.0,25.289896550979503,5.884668334702268,23,1.2270381697306654
5.0,2700.0,26.588944381117194,5.569007946750678,25,1.1138015893501356
5.0,2900.0,25.288118882388734,6.35503308502911,39,1.0176197152759585
5.5,900.0,25.129744517352478,4.391158640857585,17,1.0650124055940888
5.5,1100.0,27.005971149413714,6.118302510652256,26,1.1998978419953685
5.5,1300.0,26.403395150294344,6.426028605806391,21,1.4022744049552058
5.5,1500.0,27.640903175963594,6.647434002830493,22,1.4172376913301041
5.5,1700.0,25.999246606881538,8.815109168413715,27,1.696468550439865
5.5,1900.0,27.119838423249828,8.113968805381877,43,1.2373686425440884
5.5,2100.0,27.289484368761325,6.368157458766318,49,0.90973677982376
5.5,2300.0,26.10415877653378,5.7938263533024275,30,1.0578031293238785
5.5,2500.0,25.7816279273701,6.597686469340347,27,1.2697253530341341
5.5,2700.0,27.4152381297713,5.791591667010841,28,1.0945079461531917
5.5,2900.0,25.125333348597103,6.74612746328985,57,0.8935464110012528
6.0,900.0,25.36120419140948,4.685553968600748,22,0.998963462628553
6.0,1100.0,26.369054027150835,6.869506870651929,31,1.2337998562784451
6.0,1300.0,21.450306906304007,8.641220734553732,38,1.4017911078639185
6.0,1500.0,22.90771101239293,9.647246046863605,37,1.5859974803899886
6.0,1700.0,25.06655754969202,9.124590391650116,34,1.5648543421729257
6.0,1900.0,27.26292589543103,8.793473376324247,47,1.282659919274499
6.0,2100.0,29.937254455758744,7.913335656488297,47,1.1542786382536512
6.0,2300.0,27.757115714955948,8.067411112473472,31,1.4489498094299578
6.0,2500.0,26.92715309247118,6.4048923105584255,33,1.1149486400706843
6.0,2700.0,25.189393755760705,6.311665220171766,37,1.0376313704066833
6.0,2900.0,25.18714841305189,6.535780578018363,120,0.5966324089141352
6.5,700.0,20.590406586198363,5.043624129933466,27,0.9706459163694597
6.5,900.0,24.55891820904118,7.349438547007412,39,1.1768520260362387
6.5,1100.0,22.653305931221617,8.87765763986969,52,1.2311096087140305
6.5,1300.0,21.000352277931214,8.115600206626333,62,1.0306822569243166
6.5,1500.0,21.025918169932275,8.633688783660054,59,1.1240105404920557
6.5,1700.0,23.742703330300085,7.793636726321849,47,1.1368187548226156
6.5,1900.0,27.482612004443343,8.063377001839992,59,1.0497622706973695
6.5,2100.0,31.27375549419732,6.609925974319149,55,0.8912822365556365
6.5,2300.0,27.0099715544067,7.657686042717085,49,1.0939551489595838
6.5,2500.0,25.755076297177308,6.020193208409457,67,0.7354836591889857
6.5,2700.0,25.897257920253583,5.834559135909449,78,0.6606337313948804
6.5,2900.0,27.611091053675214,5.567699251854272,228,0.36872989067439105
7.0,700.0,21.146365129665163,5.223701375198202,33,0.909329690807058
7.0,900.0,26.25964238137149,8.148152130940241,53,1.1192347718456641
7.0,1100.0,25.20424444834326,7.769416539488854,72,0.9156345201559146
7.0,1300.0,24.146114081630785,7.377193162814444,95,0.7568840484198228
7.0,1500.0,24.432582345500638,6.810225663355497,106,0.6614675906279814
7.0,1700.0,26.502236964168087,6.564240585031053,89,0.6958081103984627
7.0,1900.0,29.14836309269388,6.612648195760329,91,0.6931938834192105
7.0,2100.0,29.796797023492253,6.473460293255298,99,0.6506072390300562
7.0,2300.0,27.920555755424896,6.332251300191122,97,0.6429427074311428
7.0,2500.0,28.17525743797056,4.970387968410167,117,0.4595125302321062
7.0,2700.0,28.69313260199549,5.12325744941826,132,0.44592232382614894
7.0,2900.0,28.956057974019686,5.408413718551605,285,0.3203667796640922
7.5,700.0,21.075446845987162,5.44716351554678,59,0.7091602860235113
7.5,900.0,26.148657007471378,7.4623474953542335,80,0.8343158135668681
7.5,1100.0,28.859859847197797,6.29699575996364,100,0.6296995759963643
7.5,1300.0,28.14453654051518,5.6747900744503115,116,0.526891030979414
7.5,1500.0,27.55501973300603,5.462013351078662,124,0.4905032787973799
7.5,1700.0,28.585345981125936,5.476679586461682,117,0.5063192068788335
7.5,1900.0,29.846933217409024,5.925881480546022,115,0.5525912973671394
7.5,2100.0,31.496688104637254,6.510743145726549,117,0.6019184167510969
7.5,2300.0,29.552457598304787,5.7040276699257495,120,0.520704103908661
7.5,2500.0,28.512428142479603,5.636281689135039,147,0.4648726786358102
7.5,2700.0,29.66532237993455,5.3436324672113855,151,0.43485864297314814
7.5,2900.0,29.901084481226555,5.988279810324746,309,0.34066133609758176
8.0,500.0,22.540855006755468,7.223215030259761,18,1.7025281099550904
8.0,700.0,24.89687695081079,6.155124721404775,70,0.7356781161044378
8.0,900.0,28.18110760142115,6.882822460072616,96,0.7024751257227315
8.0,1100.0,29.617400378743433,5.8154705927351085,119,0.5331033151872038
8.0,1300.0,29.12321854362985,5.271841960710488,124,0.47342538379541627
8.0,1500.0,28.23092296370206,5.353439330081668,140,0.45244820272495007
8.0,1700.0,29.043852445946847,5.702805003819302,136,0.4890114947493148
8.0,1900.0,30.347166260589706,6.101130245307452,130,0.5351045208483565
8.0,2100.0,32.439455547002275,6.83142252217265,122,0.6184879345765645
8.0,2300.0,30.287157082639993,5.7219047573215,136,0.49064928510041356
8.0,2500.0,29.615232076485704,5.84736713056619,153,0.47273161394292684
8.0,2700.0,30.829269223546177,6.235764885920502,144,0.5196470738267085
8.0,2900.0,31.55876680033139,6.838775486480255,284,0.40580666559302564
8.5,500.0,21.998412520697165,5.456241274273521,47,0.7958745870823687
8.5,700.0,26.935772290087243,5.5836700755690725,99,0.5611799573878182
8.5,900.0,29.129697908995542,6.839457494610552,110,0.6521166851846552
8.5,1100.0,30.997661884629263,6.447006478525166,114,0.6038174794961931
8.5,1300.0,31.130038798058415,5.892667589787983,116,0.5471204504253163
8.5,1500.0,29.542775604258747,5.705353316564082,138,0.4856719271011261
8.5,1700.0,30.457207469231903,6.0843424045618475,136,0.5217280569524634
8.5,1900.0,31.828596470774567,6.678026530631857,130,0.5857016721835768
8.5,2100.0,33.41742920293128,7.25835618037893,120,0.6625942350667624
8.5,2300.0,32.41217066536075,7.460587883527819,127,0.6620201222519395
8.5,2500.0,31.728098616814037,6.795860636201636,142,0.5702959559482695
8.5,2700.0,32.80339963365848,7.220172500898652,132,0.6284353522761129
8.5,2900.0,32.51410716410635,7.419449628894688,266,0.45491564448024635
9.0,500.0,23.04298568648457,5.84797849193127,50,0.8270290495755362
9.0,700.0,27.814838216163174,5.53375164181104,110,0.5276225168643203
9.0,900.0,30.11143849622714,6.8955688409402605,124,0.6192403621617475
9.0,1100.0,31.593205884529205,6.460407884525694,127,0.5732684989817058
9.0,1300.0,31.15833108028706,6.438109680073456,135,0.5541042571551392
9.0,1500.0,30.3592184034451,5.484025839287571,149,0.4492689020495601
9.0,1700.0,30.40235165829572,5.630364413095179,146,0.4659722743254783
9.0,1900.0,32.042635938091486,6.65792513234673,124,0.5978993271333947
9.0,2100.0,34.33989808154607,7.300499314127581,114,0.683754407507378
9.0,2300.0,33.37473027224298,8.05037184370846,118,0.7410967983961336
9.0,2500.0,32.85422158681141,7.734748834661849,129,0.6810066621679084
9.0,2700.0,33.293104434785604,8.356876999835254,124,0.7504697087780096
9.0,2900.0,33.726703594691905,7.761053642162058,246,0.49482670710779353
9.5,500.0,24.508842970068287,5.970243158619454,70,0.7135805427864906
9.5,700.0,30.364138109821216,5.746901610582439,113,0.5406230273622206
9.5,900.0,31.891787282133954,6.895930233062709,122,0.6243281883074909
9.5,1100.0,32.94439200307037,7.069704403467492,129,0.6224527649487208
9.5,1300.0,32.613971416504285,6.893045617148815,128,0.6092649123642672
9.5,1500.0,31.728027033152134,5.842092758458473,146,0.4834950368661485
9.5,1700.0,31.549122978067395,6.05478680336151,140,0.5117228828335052
9.5,1900.0,32.96092204404871,6.977189998606543,127,0.6191254962696523
9.5,2100.0,35.42515632416106,7.429607405639058,110,0.7083852714058846
9.5,2300.0,33.46579979890833,8.33618729958636,121,0.7578352090533055
9.5,2500.0,33.77799173887044,7.712700465886174,121,0.701154587807834
9.5,2700.0,34.36779797058901,8.214282944133156,114,0.7693380857792619
9.5,2900.0,35.47513236952756,8.624088147528957,223,0.5775116576244584
10.0,500.0,27.265069313968517,5.821847778718912,71,0.6909262160580231
10.0,700.0,32.06364304530165,5.905858045258651,106,0.5736276424448636
10.0,900.0,33.46928808178964,7.307681071482735,121,0.6643346428620668
10.0,1100.0,33.861424401453434,7.536822682724149,123,0.6795724154885103
10.0,1300.0,33.857570042085904,6.967387558980494,116,0.6469056944877333
10.0,1500.0,32.69507759837571,5.7936809960359925,133,0.5023758551905242
10.0,1700.0,31.953418494878708,6.329737872045599,132,0.5509329657898525
10.0,1900.0,34.27681394089392,7.5663200499915835,108,0.7280694862729173
10.0,2100.0,36.67549447494891,7.852473448437801,96,0.8014397153094021
10.0,2300.0,35.39273472485824,8.150472396174022,103,0.8030899082820143
10.0,2500.0,35.623795307209576,9.126998595309702,105,0.8907038594963901
10.0,2700.0,38.32715302315436,10.50320114300185,90,1.1071346111589904
10.0,2900.0,36.75146617140775,9.157051424581255,198,0.6507633078086291
10.5,500.0,28.827712432932792,6.128973593201477,79,0.6895634034806077
10.5,700.0,33.348350384741,6.76580011284623,114,0.63367523896896
10.5,900.0,33.961112911921376,7.5275896520161645,118,0.6929707967600152
10.5,1100.0,34.181314135919095,7.997386521688776,123,0.7211000583305366
10.5,1300.0,33.77992655773748,6.9442193482910834,124,0.6236093066949971
10.5,1500.0,32.53282124867585,6.063694253038843,129,0.5338785100769525
10.5,1700.0,31.444602696333376,6.019342611204772,128,0.5320397473335042
10.5,1900.0,33.55204183574596,7.6325006529785595,101,0.7594622004015694
10.5,2100.0,35.397101736701714,7.457844794951424,91,0.7817945613173063
10.5,2300.0,33.20189353399474,7.796231316093154,103,0.7681854975087926
10.5,2500.0,35.53113329999104,8.311387278727032,97,0.8438935200395835
10.5,2700.0,38.05548738406797,9.472700197943492,85,1.027458595359379
10.5,2900.0,37.2589175319715,8.753452529101722,172,0.6674444980811675
11.0,500.0,28.850395973889455,6.29377136040433,87,0.6747631166892604
11.0,700.0,33.794976912351025,6.876753077956659,115,0.6412605310275964
11.0,900.0,34.45112008952283,7.612688029795078,119,0.69785396752578
11.0,1100.0,35.688761175399215,7.755350538644556,115,0.7231901666875157
11.0,1300.0,34.89945977435315,7.544804208511282,118,0.6945555251367935
11.0,1500.0,33.43827016767836,5.824479885836804,120,0.5316998365346552
11.0,1700.0,32.72567527885189,6.181372751578142,114,0.5789386015225783
11.0,1900.0,34.275653336576354,7.814660573613229,96,0.7975804549332383
11.0,2100.0,35.74259102527486,6.88916306913514,88,0.7343872507151139
11.0,2300.0,33.910875398416366,8.07936979062543,89,0.8564114849850383
11.0,2500.0,35.80905017276272,7.714239775024221,85,0.836726783059446
11.0,2700.0,37.051906573809205,9.349613656506799,80,1.0453185849654785
11.0,2900.0,38.72129960025318,8.975840777275216,148,0.7378095669990885
11.5,500.0,29.98536110247666,6.589150299700959,85,0.7146936955750324
11.5,700.0,33.636636584196246,6.72359924872308,112,0.6353204116922134
11.5,900.0,34.09600441778499,7.430903616872728,114,0.6959678894794088
11.5,1100.0,34.942721534895355,8.031815994006402,106,0.7801189324033375
11.5,1300.0,34.59476919143128,7.359356574217058,109,0.7048985169100185
11.5,1500.0,33.33680999453289,6.0220108750110315,112,0.569026541707345
11.5,1700.0,32.66653134005865,6.702375671086325,107,0.6479431124531065
11.5,1900.0,34.609061085761375,7.912068341682473,91,0.8294101269693274
11.5,2100.0,36.178550884911914,6.909552918980706,83,0.7584219630115221
11.5,2300.0,35.57999592586846,8.71478575115707,81,0.9683095279063411
11.5,2500.0,37.947611067939036,7.490940392464385,77,0.8536718853500279
11.5,2700.0,39.412835644226085,9.240968700125569,73,1.0815735778662323
11.5,2900.0,39.571217359637494,9.778314446375923,142,0.8205779198961883
12.0,500.0,30.192100120558322,6.43927720546041,95,0.6606559015877771
12.0,700.0,33.60834941139843,7.286630968818167,114,0.6824555179626867
12.0,900.0,33.905358120724586,7.5067206529751225,109,0.7190134357232058
12.0,1100.0,34.68071359601039,7.718968880979389,105,0.7532942294035242
12.0,1300.0,33.33768850962911,7.243159213000521,111,0.6874902481527825
12.0,1500.0,32.6065061800063,6.028892207966214,109,0.5774631427555024
12.0,1700.0,32.07735541163586,6.96534119799741,101,0.6930773534509225
12.0,1900.0,33.23505082773061,8.225846936713946,92,0.8576038270660462
12.0,2100.0,35.63667984087551,7.5404957896096025,78,0.8537930208638972
12.0,2300.0,34.629441872034036,8.417306827863545,79,0.9470210070411287
12.0,2500.0,35.829578359490576,7.7073799297957075,77,0.8783374597929627
12.0,2700.0,37.23197795721872,8.910269489895043,75,1.0288692977086022
12.0,2900.0,38.111027050675126,10.12870329481695,141,0.8529906937642874
12.5,500.0,31.581766528482387,6.957718234290197,94,0.7176338412329126
12.5,700.0,35.06373346407441,8.769392181530392,111,0.8323538706989024
12.5,900.0,34.744361557684456,7.795538723411864,103,0.7681172543241208
12.5,1100.0,34.75373828173297,8.059327683741207,99,0.809992908772535
12.5,1300.0,32.812773287674275,7.598349708480418,106,0.7380169649093469
12.5,1500.0,32.43855533744917,5.735076585573277,105,0.5596861658226386
12.5,1700.0,32.26956312351321,7.405927181898454,93,0.7679588742319727
12.5,1900.0,33.896030134907775,8.447002067994688,85,0.9162060129026116
12.5,2100.0,35.83619261789672,7.992895788531049,73,0.9354976925087944
12.5,2300.0,34.778564069367,8.077383424018306,75,0.9326958988409579
12.5,2500.0,35.12453419507286,7.356433106248238,76,0.8438407498698178
12.5,2700.0,36.76966407925451,8.880013182920253,74,1.0322805645284663
12.5,2900.0,38.42738998929139,10.051219357928598,127,0.8919014924827194
13.0,500.0,31.545082442057232,7.120981910771095,99,0.7156856102101751
13.0,700.0,35.85165644603042,9.114899467887476,102,0.9025095312608181
13.0,900.0,34.85276666566356,7.815560580128864,100,0.7815560580128864
13.0,1100.0,34.93984941535093,8.127654465793833,91,0.8520096934606856
13.0,1300.0,33.69834206550856,8.282161156281356,93,0.8588201047036451
13.0,1500.0,33.100951444968,6.767312735974276,97,0.6871165034731382
13.0,1700.0,33.5669117118745,7.416742342615601,82,0.8190421753989728
13.0,1900.0,34.996250750070686,7.833496903380521,80,0.8758115788746473
13.0,2100.0,36.889758775778745,8.425561847968497,72,0.9929619863341975
13.0,2300.0,35.903085972466705,8.897361709953087,69,1.0711164796653603
13.0,2500.0,36.049103814252305,7.567251322901507,74,0.879675098068343
13.0,2700.0,38.069522096449205,9.570493768144066,68,1.1605928439815756
13.0,2900.0,39.0421721608804,10.591613475518596,127,0.9398537162720854
13.5,500.0,31.36865419368331,7.4769957937460365,99,0.7514663517248835
13.5,700.0,36.10430778071984,9.792014948912492,98,0.9891428816937243
13.5,900.0,35.30714541078818,8.358341966014951,93,0.8667196866795638
13.5,1100.0,35.74279949151663,9.244578380709797,83,1.0147243048753007
13.5,1300.0,35.22202921507817,9.489543042066634,85,1.0292854583026791
13.5,1500.0,33.84544904195068,6.748466436285998,88,0.7193889392589843
13.5,1700.0,35.082357624863405,7.277541214682157,75,0.8403380758670679
13.5,1900.0,36.0454688905916,8.9867010022577,75,1.0376948485560324
13.5,2100.0,37.233439002377644,9.366425981342362,68,1.1358459898707087
13.5,2300.0,36.842566015374764,9.601431466363398,63,1.2096666614394178
13.5,2500.0,37.1059248393932,8.178363795242408,66,1.0066869933277824
13.5,2700.0,38.3696321338631,10.090564819069353,66,1.2420626684028475
13.5,2900.0,40.50116282290087,10.885043043294381,110,1.0378481324109183
14.0,300.0,23.360947911518988,9.128027864939023,34,1.5654438639784378
14.0,500.0,27.684817991965893,8.62300039760924,123,0.7775097618249449
14.0,700.0,32.8120673321133,10.703645552729183,94,1.1039967435508329
14.0,900.0,34.16264306375816,11.787505684147433,86,1.2710794270729113
14.0,1100.0,33.158084188594486,10.400540463699059,74,1.2090382705645628
14.0,1300.0,32.08047395502416,9.085415277935672,84,0.9913000769344877
14.0,1500.0,33.00719817156613,7.502862887559338,88,0.7998078711727875
14.0,1700.0,35.63937764724446,9.431765463665046,71,1.1193446256663924
14.0,1900.0,34.82811874528161,9.204194093933086,66,1.132957974285392
14.0,2100.0,38.44563488296501,10.275699781379807,60,1.3265871374637066
14.0,2300.0,37.51055058838925,9.588174201951736,68,1.162736911513804
14.0,2500.0,39.987217927104275,9.750683318736337,54,1.3268999319095387
14.0,2700.0,40.801928136954345,10.542794723980826,53,1.4481642288812693
14.0,2900.0,41.573091128887604,10.717765980629203,106,1.0410014573038786
14.5,300.0,25.11496894349823,8.933360788886546,32,1.5792099981519205
14.5,500.0,28.713977971999906,8.814102955744225,110,0.8403917426061116
14.5,700.0,33.839054402390076,10.87496539422378,85,1.1795556108655034
14.5,900.0,35.989833191473,11.693279800604227,77,1.3325729067806973
