time_min,radius_um,distance_um,cx,cy
4.5,14.318024526598174,3068.2441,829.0534351145038,14.822519083969466
4.5,10.923639978145568,2596.897,1276.4327868852458,10.147540983606557
4.5,13.356721784130828,2983.484,909.5679824561404,13.646929824561404
4.5,15.995813528461445,2634.6458,1238.68501529052,16.249235474006117
4.5,10.941532930314814,2192.553,1664.9640522875818,14.19281045751634
4.5,12.288846256139601,3223.7056,680.2046632124352,22.569948186528496
4.5,14.13929998037253,3023.1538,867.8767123287671,29.42074363992172
4.5,11.516415029640779,3064.686,823.7315634218289,45.551622418879056
4.5,16.760218673716892,2802.8567,1068.824512534819,50.81894150417827
4.5,15.4483598075744,3153.9167,737.8426229508196,51.9688524590164
4.5,11.516415029640779,2980.758,901.9410029498525,49.05309734513274
4.5,15.321210651056466,3103.395,784.9983333333333,53.515
4.5,14.413342908410621,2926.446,950.0433145009416,56.7834274952919
4.5,10.706592383006798,3674.9092,248.36177474402731,54.36518771331058
4.5,17.779647194556908,2649.9517,1207.0160891089108,67.26361386138613
4.5,15.574470959699216,2749.5498,1111.0032258064516,74.89677419354838
4.5,12.256968520845172,3174.9714,707.2369791666666,86.54166666666667
4.5,12.031459696090984,2954.6338,913.6324324324324,90.40810810810811
4.5,17.5359271074101,2602.6956,1240.9211195928754,105.19338422391857
4.5,10.258729971263369,3680.5142,231.1375464684015,100.41635687732342
4.5,15.192997429204414,2839.7188,1011.9762711864407,124.93559322033899
4.5,13.209454640084159,2938.8416,918.3116591928251,123.71300448430493
4.5,15.61210566046696,2687.9773,1149.4349919743179,141.57303370786516
4.5,13.689425267636821,2786.5098,1053.6054279749478,151.73695198329852
4.5,15.231574717109265,2864.9204,977.4350758853288,159.49241146711637
4.5,12.447010373470023,3093.8145,762.9520202020202,161.1969696969697
4.5,15.662144588966036,2657.7087,1168.371610845295,172.04784688995215
4.5,11.567260376338307,2793.8062,1036.3976608187133,186.07894736842104
4.5,15.848383530222547,2701.6716,1119.886292834891,198.8271028037383
4.5,14.042121509365979,3048.553,793.4246031746031,203.10714285714286
4.5,12.587659022808058,2260.892,1531.8493827160494,208.6641975308642
4.5,13.268557640547618,2874.5464,952.2666666666667,216.99333333333334
4.5,12.383987131177776,2794.8274,1026.9642857142858,218.4795918367347
4.5,14.695589003130237,2972.073,857.5271739130435,231.31159420289856
4.5,10.633258695421903,2380.6443,1411.5778546712802,232.75778546712803
4.5,9.085706138101735,2775.871,1035.7725118483413,250.18483412322274
4.5,15.257238719667757,2725.022,1079.2386554621849,263.0235294117647
4.5,15.24441211906532,3125.0083,706.2878787878788,268.4848484848485
4.5,12.818644509847061,3041.621,783.7309523809524,269.14285714285717
4.5,13.150086004142606,2266.2048,1507.9253393665158,271.1085972850679
4.5,10.887765858342714,2077.764,1685.8679867986798,270.4950495049505
4.5,13.560209132642562,2599.9563,1191.3468085106383,281.831914893617
4.5,12.940150965657994,2717.905,1076.8971962616822,300.01869158878503
4.5,16.26263094593938,2673.028,1111.707100591716,327.36242603550295
4.5,11.171533702874813,2009.8796,1732.1003134796238,326.40438871473356
4.5,13.717974673553682,2490.0251,1280.4199584199584,332.4844074844075
4.5,15.089642505361905,2793.1206,998.2371134020618,334.11168384879727
4.5,15.761745876325548,2534.5327,1237.2425196850393,338.66299212598426
4.5,14.72218737603109,2733.756,1047.0036101083033,360.14440433212997
4.5,10.239643945483353,1882.0481,1840.2201492537313,367.8768656716418
4.5,14.345322977553126,3090.202,714.3897338403042,372.33269961977186
4.5,14.290673929462532,2679.7598,1094.2854406130268,373.2988505747126
4.5,14.083851531554462,2173.5828,1564.439842209073,375.8165680473373
4.5,12.803375124427497,2604.1658,1163.582338902148,377.2052505966587
4.5,16.619570995501885,2512.8376,1245.4008498583569,388.485835694051
4.5,13.617789897523622,3015.9905,779.6561181434599,388.92194092827003
4.5,15.295653984972308,2754.4736,1018.11872909699,404.82775919732444
4.5,13.87394632278494,2929.0994,856.1686991869918,403.4065040650407
4.5,10.577924796702579,2050.098,1671.1048951048951,406.02797202797206
4.5,14.972515436706486,2542.0864,1213.916230366492,410.11343804537523
4.5,12.634193965328825,2201.1206,1529.1470588235295,410.5171568627451
4.5,13.859839612148996,2868.0054,911.142566191446,410.0346232179226
4.5,12.618701385662787,2492.12,1255.8574938574939,429.33415233415235
4.5,9.128664799081317,3182.7622,616.2723004694835,427.9765258215962
4.5,12.383987131177776,2746.8281,1015.2857142857143,445.4234693877551
4.5,11.801642577045536,2187.5515,1533.0983146067415,445.85393258426967
4.5,11.718472812240378,2053.2126,1656.7378917378917,452.5840455840456
4.5,15.4483598075744,2960.9668,814.760655737705,458.22786885245904
4.5,13.298010634925113,3004.5625,774.1924778761062,457.0353982300885
4.5,13.930230311793535,2673.2407,1078.0987903225807,467.8608870967742
4.5,13.327398539573586,2551.7651,1189.568281938326,474.5220264317181
4.5,10.085655565509196,2512.744,1225.1884615384615,475.9230769230769
4.5,12.462716386498323,2082.4966,1621.103274559194,485.088161209068
4.5,11.396893773470566,3785.1963,51.3644578313253,485.394578313253
4.5,12.572109098375565,3056.0068,720.8044554455446,487.56188118811883
4.5,13.91618065586201,2854.9614,904.1151515151515,494.8868686868687
4.5,15.4483598075744,2625.893,1114.634426229508,501.472131147541
4.5,10.779427184593475,3088.061,687.3400673400673,504.04040404040404
4.5,10.466379414418093,3310.4678,480.4714285714286,518.3857142857142
4.5,10.923639978145568,3048.4917,720.5540983606558,521.5344262295082
4.5,8.867791782496104,2139.6628,1561.2039800995026,519.9900497512438
4.5,9.909558806974,2235.5195,1468.7051792828686,534.207171314741
4.5,12.352354928479425,3141.6182,631.9025641025642,539.276923076923
4.5,14.235815093844343,2917.6018,837.5945945945946,538.3590733590734
4.5,12.14473753812019,3451.8237,346.20159151193633,544.6366047745358
4.5,9.850160316959604,3352.328,436.39112903225805,550.891129032258
4.5,13.429749784854224,2772.5894,967.2537960954447,555.6138828633406
4.5,9.277453770574674,2340.2964,1365.5863636363636,559.6590909090909
4.5,12.462716386498323,3582.8699,223.7329974811083,564.5793450881612
4.5,12.87954102605857,3632.5918,177.56603773584905,568.0448113207547
4.5,9.107210798096359,2346.6763,1353.4009433962265,587.5188679245283
4.5,10.577924796702579,2607.3381,1112.958041958042,590.8636363636364
4.5,10.466379414418093,2249.381,1440.1142857142856,600.675
4.5,14.946362551348978,2981.0466,764.0718038528896,619.4500875656743
4.5,13.135201917874115,3406.6545,375.3718820861678,622.5555555555555
4.5,7.048867044708183,2096.6895,1577.5590551181103,618.2283464566929
4.5,13.560209132642562,2704.5208,1015.1914893617021,631.3255319148936
4.5,13.487887501602529,2656.3066,1059.6602150537635,632.6193548387097
4.5,11.171533702874813,3203.0227,558.5987460815047,640.0658307210032
4.5,11.584159231771189,2672.2983,1038.597667638484,669.9212827988338
4.5,10.027300270113406,2490.5322,1205.8599221789884,665.5758754863813
4.5,9.150068497394418,2231.6404,1442.9766355140187,668.9065420560747
4.5,11.431170223114473,2623.6958,1079.9580838323354,690.4191616766467
4.5,15.67462936144589,2972.5625,760.358280254777,695.4808917197453
4.5,8.13131547296969,2208.0022,1458.9408284023668,698.0177514792899
4.5,14.867627872603842,2868.357,852.529203539823,715.8371681415929
4.5,6.409322254923531,2358.8105,1317.3333333333333,715.8380952380952
4.5,10.941532930314814,2119.4607,1535.3039215686274,721.0424836601308
4.5,7.5577737450533595,1851.576,1780.890410958904,726.9931506849315
4.5,7.635027273067733,1953.4187,1686.3825503355704,728.8389261744967
4.5,10.522299916160204,2321.8167,1346.1166077738517,745.0530035335689
4.5,13.19463752421481,2550.0435,1137.5752808988764,751.4741573033708
4.5,15.141408154848687,3154.6562,585.0460750853242,758.7491467576792
4.5,8.889823597278454,2103.6648,1543.351485148515,759.7326732673267
4.5,11.949889537294673,2430.6743,1243.164383561644,770.8904109589041
4.5,12.031459696090984,2169.186,1481.1027027027028,773.3567567567568
4.5,12.818644509847061,2609.5627,1079.1357142857144,775.1904761904761
4.5,16.771886074137036,2848.9126,860.2531293463144,782.9290681502086
4.5,16.33464294810161,2689.5315,1004.2756598240469,790.7947214076246
4.5,16.560615254555323,2761.9119,936.5634807417974,806.6105563480742
4.5,7.294355286876542,2144.69,1498.2867647058824,809.9779411764706
4.5,8.13131547296969,2108.3977,1531.98224852071,810.3905325443787
4.5,14.372569579457966,3151.224,580.0094696969697,827.7613636363636
4.5,14.222067321353217,2712.419,978.3036750483559,830.6015473887815
4.5,10.315776175468695,2335.3345,1321.7279411764705,830.0882352941177
4.5,11.118878891120165,2477.9934,1191.0474683544303,831.5
4.5,13.356721784130828,3300.0752,443.0657894736842,847.3333333333334
4.5,8.801365440579955,1997.3905,1627.949494949495,844.020202020202
4.5,13.060527055146235,2565.2717,1108.5252293577983,861.0642201834862
4.5,8.461415143064666,2155.4211,1480.9617486338798,865.9890710382514
4.5,13.209454640084159,3319.2434,423.32286995515693,876.8565022421525
4.5,11.012814028996273,2490.0923,1174.8935483870969,881.6967741935484
4.5,11.206499465065558,2089.212,1538.7383177570093,882.5950155763239
4.5,7.7115069175588715,2425.0803,1233.1184210526317,881.4342105263158
4.5,6.851853702671213,2045.0586,1577.0333333333333,891.7916666666666
4.5,8.823563118811958,2272.6592,1370.9798994974874,893.8190954773869
4.5,9.064150458532565,1995.0089,1622.7333333333333,895.5809523809523
4.5,10.577924796702579,2544.84,1122.167832167832,903.1853146853147
4.5,13.859839612148996,2659.0654,1018.3034623217923,908.3788187372709
4.5,15.115547490106719,3002.156,707.3339041095891,912.361301369863
4.5,8.734433933550871,2302.2617,1340.6512820512821,922.0
4.5,9.319528606705225,2333.9207,1311.1846846846847,925.7027027027027
4.5,16.214445266851765,2598.8015,1070.4166666666667,937.8229166666666
4.5,9.588515831999308,2445.865,1209.0170212765956,931.9617021276596
4.5,9.19272639063388,2405.8389,1244.0,945.1712962962963
4.5,17.513602557165488,2941.878,758.6211734693877,960.0918367346939
4.5,9.608895272273749,1958.5206,1648.0211864406779,958.1483050847457
4.5,13.789089585950817,3693.4634,78.86831275720165,965.2427983539095
4.5,9.710150916367974,2475.158,1179.8132780082988,974.6473029045643
4.5,8.576229281473362,2301.6238,1335.462765957447,987.3085106382979
4.5,10.923639978145568,2508.8308,1147.3081967213116,998.6983606557377
4.5,13.930230311793535,3287.9226,441.78225806451616,1019.4415322580645
4.5,11.065973536762474,2316.9043,1319.408945686901,1022.0958466453674
4.5,12.39977297204268,2526.9875,1128.2010178117048,1033.4325699745548
4.5,8.599008151026752,2396.976,1245.1746031746031,1041.7724867724867
4.5,10.239643945483353,2419.8271,1223.384328358209,1060.813432835821
4.5,7.635027273067733,1942.8356,1654.3355704697988,1065.3154362416108
4.5,12.985422769131922,3140.622,571.7401392111369,1076.1299303944315
4.5,14.98557476359974,2853.801,830.9198606271777,1076.8902439024391
4.5,10.372508644558355,2341.6052,1292.0581818181818,1088.2109090909091
4.5,13.845718528898058,2693.108,973.4244897959184,1127.3612244897959
4.5,11.785055579983938,3759.153,11.36338028169014,1131.4169014084507
4.5,13.34206821769592,3516.3206,230.33186813186813,1135.7978021978022
4.5,11.154009717650618,2122.9539,1487.5251572327045,1144.053459119497
4.5,7.911839159370318,2005.2585,1593.59375,1151.8
4.5,7.374368890302003,1972.6827,1622.2230215827337,1167.978417266187
4.5,9.361414339577319,2124.344,1485.0848214285713,1178.0714285714287
4.5,10.977231338147625,2167.5027,1446.8116883116884,1184.3474025974026
4.5,12.14473753812019,2069.9065,1534.7718832891246,1188.183023872679
4.5,11.482393049747479,2016.6616,1582.074183976261,1192.818991097923
4.5,10.54087415818292,2100.8818,1506.2077464788733,1216.6267605633802
4.5,10.923639978145568,3303.7612,421.8360655737705,1215.950819672131
4.5,9.235187246564273,2149.662,1462.2798165137615,1222.7660550458716
4.5,16.06902129550679,3063.1855,638.959090909091,1237.5924242424242
4.5,13.675128213848307,2547.9443,1103.112970711297,1270.4958158995817
4.5,8.867791782496104,2362.8052,1270.407960199005,1269.6268656716418
4.5,11.048282120913818,2700.0107,966.2692307692307,1281.198717948718
4.5,11.651509562246572,2520.7417,1128.2737752161383,1293.0835734870318
4.5,9.830281062959608,2480.9006,1164.8259109311741,1295.5748987854251
4.5,14.111602990054521,3033.1082,666.2239685658153,1305.6129666011789
4.5,7.936525144971761,2172.9463,1442.5341614906831,1301.751552795031
4.5,9.340494951779615,2307.1113,1321.8071748878924,1307.340807174888
4.5,7.159012263299087,2212.8687,1406.0992366412213,1305.793893129771
4.5,18.44918071162963,2990.1648,705.5781609195402,1325.8367816091954
4.5,8.438264853052472,2429.333,1211.4285714285713,1332.3131868131868
4.5,15.712024156606041,2874.0403,810.1917591125198,1343.9540412044373
4.5,16.795196559429684,3124.6926,584.0027739251041,1350.1719833564493
4.5,7.505829667356638,2109.3137,1500.25,1346.388888888889
4.5,16.190298648440205,2916.5457,772.0492537313432,1360.2223880597014
4.5,12.772781591758392,3272.5574,451.90887290167865,1369.2805755395684
4.5,8.345021495368782,2016.8307,1584.4719101123596,1366.5842696629213
4.5,13.531326865276588,2622.1548,1038.3162393162393,1373.4978632478633
4.5,8.010126644182304,2367.5547,1268.5792682926829,1388.3231707317073
4.5,9.277453770574674,2315.6147,1316.6863636363637,1424.840909090909
4.5,9.506561202054492,2107.375,1504.7142857142858,1424.6190476190477
4.5,9.96860337399107,2476.374,1171.8346456692914,1427.5393700787401
4.5,10.447672733845152,2414.7576,1227.31541218638,1436.8673835125448
4.5,8.734433933550871,2127.473,1487.0820512820512,1447.6102564102564
4.5,10.085655565509196,2461.056,1186.1923076923076,1453.1346153846155
4.5,7.660605325528233,2156.5657,1461.5666666666666,1452.7
