birth_s,death_s,dist_um,censored,duration_min
0,30,4306.743857674474,False,0.5
0,30,4328.557298790962,False,0.5
0,30,4725.68907687582,False,0.5
0,30,2824.704019600732,False,0.5
0,30,104.19312537174869,False,0.5
0,30,3492.228517555545,False,0.5
0,30,3641.9430028194024,False,0.5
0,30,2863.890168062761,False,0.5
0,30,4363.380868024368,False,0.5
0,30,1638.6284186807986,False,0.5
0,30,4381.254773982163,False,0.5
0,30,4154.589177358829,False,0.5
0,30,3884.6746220185187,False,0.5
0,30,1340.5032153994214,False,0.5
0,30,1846.3872324304293,False,0.5
0,30,1321.5059186110552,False,0.5
0,30,3066.682217798142,False,0.5
0,30,4233.737690835325,False,0.5
0,30,1647.4204857193754,False,0.5
0,30,3623.614365104438,False,0.5
0,30,3175.8095921147305,False,0.5
0,30,1706.143240528579,False,0.5
0,30,2477.9130410741736,False,0.5
0,30,3826.7357320649157,False,0.5
0,30,3922.764563889297,False,0.5
0,30,1794.9273289404066,False,0.5
0,30,4532.5114452246435,False,0.5
0,30,1796.7459286735552,False,0.5
0,30,2615.1630802852096,False,0.5
0,30,2887.629548703163,False,0.5
0,30,3911.409022783478,False,0.5
0,30,1883.4928701071792,False,0.5
0,30,2241.674509749377,False,0.5
0,30,1342.3897040388595,False,0.5
0,30,1751.3720642339356,False,0.5
0,30,3769.5965484442904,False,0.5
0,30,1663.6294976333302,False,0.5
0,30,1654.791033239925,False,0.5
0,30,2558.042442179975,False,0.5
0,30,4066.593321572795,False,0.5
0,30,1051.2730957928675,False,0.5
0,30,1846.648691110509,False,0.5
0,30,3763.8761219376174,False,0.5
0,30,4502.390416905756,False,0.5
0,30,4697.356611252855,False,0.5
0,30,4724.704870150263,False,0.5
0,30,2244.232865299179,False,0.5
0,30,2417.501608567179,False,0.5
0,30,3884.2109500048327,False,0.5
0,30,4874.207969250247,False,0.5
0,30,1875.03692228247,False,0.5
0,30,1568.1309417802995,False,0.5
0,30,1636.4538953260878,False,0.5
0,30,1638.6325690753913,False,0.5
0,30,4691.316575705794,False,0.5
0,30,1635.0366092370803,False,0.5
0,30,1637.3178238072728,False,0.5
0,30,2114.3519011540293,False,0.5
0,30,1558.9373734257242,False,0.5
0,30,4728.809366517915,False,0.5
0,30,2091.7173594100695,False,0.5
0,30,2529.46090402964,False,0.5
0,30,2025.2930288773473,False,0.5
0,30,3914.248814187441,False,0.5
0,30,3287.232516396505,False,0.5
0,30,2439.394310928337,False,0.5
0,30,2451.2930983405413,False,0.5
0,30,1597.7127578158884,False,0.5
0,30,4941.868211758869,False,0.5
0,30,1606.9259311391233,False,0.5
0,30,3776.925188767861,False,0.5
0,30,1609.2276204615375,False,0.5
0,30,4854.913962949022,False,0.5
0,30,2248.6540964833366,False,0.5
0,30,4231.398671661072,False,0.5
0,30,3607.216930985386,False,0.5
0,30,4212.30928094307,False,0.5
0,30,1710.865389300325,False,0.5
0,30,2883.907401070814,False,0.5
0,30,1447.8138554811708,False,0.5
0,30,4204.1383614974175,False,0.5
0,30,1746.7969963539654,False,0.5
0,30,4717.968582137082,False,0.5
0,30,2423.42502975551,False,0.5
0,30,4232.142968593179,False,0.5
0,30,4873.149735231241,False,0.5
0,30,1547.983086137306,False,0.5
0,30,177.84352628725867,False,0.5
0,30,1514.462841745932,False,0.5
0,30,4258.293845740137,False,0.5
0,30,1698.226083871814,False,0.5
0,30,1936.7183182376712,False,0.5
0,30,1453.1700871572218,False,0.5
0,30,3890.581728703641,False,0.5
