time_min,radius_um,distance_um
0.0,13.225255666296366,548.7767691236173
0.0,11.138565444286918,39.280551776121094
0.0,17.114659549569918,46.72577393291287
0.0,16.147092995611512,624.8188473017095
0.0,14.727021437624144,395.1059792951041
0.0,19.639987061229526,0.0
0.0,18.715800666219046,536.9815622657063
0.0,18.439630180164393,0.0
0.0,17.114659549569918,592.8329445034927
0.0,16.574715780490436,2526.1220402696194
0.0,13.504447513182365,2836.5135025686827
0.0,21.43416441897191,355.203754417277
0.0,18.765576819724824,0.0
0.0,15.163934582412287,258.5025632458145
0.0,22.76383725383296,3259.1527628765148
0.0,16.060202178363255,3225.7003970060964
0.0,14.647629908113316,2694.340504322511
0.0,16.85377100831681,21.822527225286386
0.0,18.59077721826805,2856.4281723086337
0.0,19.449071354896873,17.118999396862293
0.0,15.678111551272364,3271.3741627581803
0.0,13.400432248150613,2963.499444701325
0.0,19.78196471949407,2690.723792716576
0.0,17.531987399967925,3280.2794063291585
0.0,15.13314483575721,2950.956211273421
0.0,21.07205624149902,3335.650439439106
0.0,15.423165917440867,3180.211633825129
0.0,17.43862506890307,2885.774131269061
0.0,17.101027799458357,2555.9042033753617
0.0,16.784442162359607,99.26067662269216
0.0,17.087385174391386,226.6571116807013
0.0,18.527949133136378,193.01625227611433
0.0,17.505363257954976,209.6221355162677
0.0,13.76104640402951,686.4739833215027
0.0,14.178395206432231,267.98206100369265
0.0,19.68742671261563,298.4431333051149
0.0,13.469865004394928,345.388274553908
0.0,16.262225241572047,3321.355887742141
0.0,12.867750131322978,523.523807342087
0.5,17.16907831821595,2452.1530769654187
0.5,12.940041431213071,526.9607989982457
0.5,17.209779469724307,225.36043131953204
0.5,17.965590229303842,185.69577663636264
0.5,18.017439082361456,2436.376140449417
0.5,13.083425768513669,77.96196009172215
0.5,13.383017773934165,0.0
0.5,14.599787766455526,615.4428963103724
0.5,16.867602583076746,0.0
0.5,14.91583711436559,0.0
0.5,16.118181436168665,0.0
0.5,15.81141863061862,0.0
0.5,15.692979370214472,79.57112782291308
0.5,19.88778281915412,0.0
0.5,15.163934582412287,0.0
0.5,16.504214755778396,1349.2491668361981
0.5,11.927196168853293,0.0
0.5,19.981372902294236,3126.6530939558415
0.5,19.304645559290254,0.0
0.5,15.225327281179462,1797.704412924437
0.5,19.098172825498118,1635.6256108762273
0.5,15.117726446796425,238.7471479156242
0.5,20.36288567848776,1359.9388281777788
0.5,19.840822227480736,639.2565100131518
0.5,17.47869856119974,2458.2624470155647
0.5,14.679438045263511,2883.3191530609797
0.5,16.644918194548872,970.3815591840538
0.5,18.388971759777142,1727.6171050041348
0.5,21.368782982203243,398.48124185854425
0.5,10.711640684784058,0.0
0.5,15.958231609769436,244.76277914304518
0.5,17.060067195012344,0.0
0.5,19.146954955604375,0.0
0.5,11.789532244811458,2377.766823516784
0.5,17.141890528683202,3008.8256656872227
0.5,13.845522620437226,0.0
0.5,11.946732948808462,3317.9572782088635
0.5,18.65339368797163,7.058344026469695
0.5,13.313132085955186,3326.653285645097
0.5,22.94750184913514,3382.909139358752
0.5,21.182439690537745,665.911509051383
0.5,13.811794135207952,3229.5892929059573
0.5,12.443927850397952,2682.006802560615
0.5,13.24287760038358,113.78662929918369
0.5,18.578228599073633,540.105106075236
0.5,17.74354241379177,221.95362079368516
0.5,18.082041079087045,202.1673409171356
0.5,15.163934582412287,270.2905111170594
0.5,17.03270540162843,298.1975468249276
0.5,12.958051240111221,340.7713004443586
0.5,16.190363532312595,557.5855586783848
0.5,17.22332514633517,389.7721941052969
1.0,16.798330821883226,532.5549841728363
1.0,15.071376639864612,576.7108644128239
1.0,12.406389520978117,164.57404639097885
1.0,15.301721776264687,261.27933805872607
1.0,14.079359801878706,2448.178476999067
1.0,12.685219605658855,62.78263396781002
1.0,16.419213942994677,0.0
1.0,9.80216599361784,17.99531770464129
1.0,20.568001063599482,0.0
1.0,15.870306799555637,43.66183970281933
