time_min,distance_bin_um,mean_radius_um,std_radius_um,n_droplets,sem_radius_um
4.5,2900.0,13.595279328948191,2.1630830148130835,79,0.24336585286647872
5.0,2900.0,15.136838145533968,5.278084606887465,25,1.055616921377493
5.5,700.0,10.14940255698479,2.5669156793513355,10,0.8117300108348666
5.5,900.0,10.529858412224248,3.1350085479498677,15,0.8094557264285156
5.5,1100.0,11.155581260033575,2.3398597955980835,14,0.6253538348724953
5.5,1300.0,10.334289748235484,2.076690586382966,16,0.5191726465957415
5.5,1500.0,11.374831623764242,3.12172988894021,12,0.9011657958584653
5.5,2100.0,14.683515586543688,4.385623843162025,15,1.132363207153113
5.5,2300.0,12.044266589578479,2.810805178562383,29,0.5219534181829504
5.5,2500.0,13.821418036828966,4.225121351884106,27,0.8131249832897083
5.5,2900.0,22.647201127611083,3.686607375259643,42,0.5688558679975178
6.0,500.0,9.978339139549611,1.9755806023206142,18,0.46564881356050364
6.0,700.0,9.749807757725385,1.8584393859602228,44,0.28017027903857006
6.0,900.0,10.353855407240555,2.7544901235172006,34,0.4723911589722143
6.0,1100.0,12.407375168571642,3.531197970939803,17,0.8564413070089159
6.0,1300.0,13.426568383059934,3.0683058816107844,10,0.9702835143981027
6.0,2900.0,25.867897416851335,3.7354282604901514,101,0.37168900405491084
6.5,500.0,10.7240892331091,2.4585805362720867,42,0.37936721289837944
6.5,700.0,12.12786040292384,4.045444383423389,67,0.49422969249717086
6.5,900.0,13.135339345761153,5.192077962978899,41,0.8108663474973452
6.5,1500.0,21.221856312140048,2.6408385034977355,18,0.6224516046139279
6.5,1700.0,22.724908233953318,2.5439789415989,39,0.40736265123725146
6.5,1900.0,22.91481825357368,3.7211267877866976,37,0.6117494755469707
6.5,2100.0,23.667586681989675,3.779763801381964,49,0.5399662573402807
6.5,2300.0,22.86472934243653,2.8717724904154087,26,0.5632009218164277
6.5,2500.0,24.834220057169,5.474794869255809,30,0.9995562158683176
6.5,2700.0,24.0798511450371,3.400536874597975,28,0.6426410638779338
6.5,2900.0,26.603620800136717,3.9531450649560216,231,0.260097849590966
7.0,500.0,9.73568494232272,2.5408041235216037,42,0.39205458785688013
7.0,700.0,11.451721129034436,4.480031789448297,90,0.47223681482055063
7.0,900.0,13.705404317088545,7.085253877220838,74,0.8236440331274125
7.0,1100.0,18.65725534768175,8.025566649866413,39,1.2851191708827863
7.0,1300.0,24.71093378965284,2.8946671053174744,27,0.557078944156466
7.0,1500.0,24.32279822669626,2.805790700826445,45,0.41826258251231363
7.0,1700.0,25.74709000140478,3.3124690719245184,59,0.43124674113151334
7.0,1900.0,25.42980515627244,3.458357267838601,57,0.45807061035432894
7.0,2100.0,25.783369372075857,4.128471623964956,71,0.4899594399695402
7.0,2300.0,24.90769898566876,3.216089035661102,81,0.3573432261845668
7.0,2500.0,25.37060630253847,4.306218035625937,78,0.4875831785758504
7.0,2700.0,26.28982676814532,3.580082959093924,78,0.40536457149144756
7.0,2900.0,28.2344006370998,4.047980068620419,308,0.23065507105855387
7.5,300.0,10.945801524447983,3.121356165273316,17,0.7570400685055753
7.5,500.0,11.740091783705232,3.5825241978774085,69,0.43128523176188294
7.5,700.0,14.633371869153796,5.297432071797316,106,0.5145320878134687
7.5,900.0,14.91582931157228,7.7795068428033884,98,0.7858488632619176
7.5,1100.0,19.841335894286743,7.706010008979463,72,0.9081619888734646
7.5,1300.0,26.342110057383596,4.771218292396834,49,0.6816026131995476
7.5,1500.0,26.091638205803424,3.63534514252,53,0.4993530589246745
7.5,1700.0,25.933630293734538,3.53500223551562,83,0.3880169044432731
7.5,1900.0,26.097235657612767,3.8245391339024475,99,0.3843806455510675
7.5,2100.0,26.629887148510377,4.050904913064733,100,0.40509049130647323
7.5,2300.0,26.613769817826867,4.193545044358685,132,0.36500124573329656
7.5,2500.0,27.311123735568234,4.889239769944679,114,0.45791925979511333
7.5,2700.0,27.707799295880307,4.187290817849723,106,0.4067056372955823
7.5,2900.0,29.710539293393563,4.43114381087632,337,0.2413797841900407
8.0,300.0,10.335094207496443,3.1573106156943007,17,0.7657603036112663
8.0,500.0,11.4753415643094,5.035925963296769,28,0.9517005514154739
8.0,700.0,20.289918566459164,6.985177580062593,59,0.9093926621560159
8.0,900.0,17.967122906330214,9.77919038252412,83,1.0734055956360573
8.0,1100.0,23.11925637283374,7.812776998521697,74,0.9082168781101713
8.0,1300.0,25.695638224032468,4.028934255096552,77,0.45913967022878527
8.0,1500.0,26.447217400938285,4.297921323475374,89,0.4555787491318028
8.0,1700.0,26.9225953094661,5.371644738303405,101,0.5344986287207694
8.0,1900.0,27.406802943160155,4.48237836105793,126,0.39932200249924
8.0,2100.0,27.71814156770035,4.387879551240869,113,0.412776986180594
8.0,2300.0,28.460112360872728,4.553844653847674,124,0.4089473222186629
8.0,2500.0,28.719422023155406,4.885031441850576,108,0.4700623696587026
8.0,2700.0,29.925447670832,4.308766086804276,101,0.42873825002858174
8.0,2900.0,30.761493577778513,4.948676821969412,351,0.2641408277599959
8.5,300.0,11.028671099185082,3.9390392042507014,18,0.9284404442284447
8.5,500.0,13.551808322645075,6.2784986127427205,54,0.8543954417773171
8.5,700.0,18.128469528490225,7.651575774518985,94,0.7891997821197966
8.5,900.0,19.37986245367998,10.32410036702397,96,1.0536990813537193
8.5,1100.0,24.09775083499429,6.817826702529987,87,0.730947746813423
8.5,1300.0,25.30853147784319,3.8399143237832,107,0.3712185291610322
8.5,1500.0,26.67254969786057,4.449899285383248,123,0.40123390629583805
8.5,1700.0,28.331698298790442,5.257541058067945,130,0.4611168546814455
8.5,1900.0,28.45026555839745,4.070382130546435,133,0.3529468925169641
8.5,2100.0,29.255271619529655,4.384151838024195,112,0.4142634097628126
8.5,2300.0,27.457745527399652,5.3676062989678766,142,0.4504395144769728
8.5,2500.0,27.79889066086392,5.356915147266561,131,0.4680358495355753
