held_out,system,n_test,R2,MAE
0.5:1,Hydrogel,5,-2.492346301639556,0.2983026968388022
1:1,Hydrogel,5,-1.080688549098907,0.21431568542002846
2:1,Hydrogel,5,-0.25895759263895557,0.2828750092713398
Agar,Hydrogel,5,-35.30944125654539,0.3909612617971737
Black,Fungi,5,-0.030883949062414873,0.30357922697593165
Green,Fungi,5,-49.839709639816526,0.3666815213553808
White,Fungi,5,-1.0155045195126902,0.3155886851689917
