held_out,system,n_test,R2,MAE
0.5:1,Hydrogel,5,-0.3960017177856725,0.12368409673554745
1:1,Hydrogel,5,0.23260151553097352,0.14740601262306394
2:1,Hydrogel,5,0.395996242008537,0.12129934915744793
Agar,Hydrogel,5,-2.3638182537331383,0.12640784363131521
Black,Fungi,5,-1.0295668325303726,0.06746930430477008
Green,Fungi,5,-0.8546212285128405,0.17896895894529816
White,Fungi,5,-2.18581331641369,0.17371824952738968
