Model,k,R2,AIC,BIC,Akaike_w,dAIC,dBIC
Universal,2.0,0.9052508442599245,-127.81727208147709,-124.70657595849826,0.010271367705080262,9.061723678930775,0.0
Two-line,4.0,0.9202264965994483,-129.83872534433183,-123.61733309837417,0.028221576832740534,7.0402704160760265,1.089242860124088
Parallel,3.0,0.909179441713415,-127.29942620598678,-122.63338202151854,0.007928289021216728,9.579569554421084,2.0731939369797203
Six-line,14.0,0.9631589667856123,-136.87899576040786,-115.10412289955607,0.9535787664409624,0.0,9.602453058942189
