Model,k,R2,AIC,BIC,Akaike_w,dAIC,dBIC
Universal,2.0,0.6954729228366479,-72.13646930473645,-69.02577318175763,0.21346180168080545,1.9760989705589935,0.0
Two-line,4.0,0.7432727283331677,-74.11256827529544,-67.89117602933779,0.5733563278768049,0.0,1.1345971524198433
Parallel,3.0,0.6960030516723832,-70.19745133064637,-65.53140714617814,0.08095949070113093,3.9151169446490712,3.494366035579489
Six-line,14.0,0.8423439770996928,-71.17852390127962,-49.40365104042783,0.13222237974125872,2.9340443740158264,19.622122141329797
