frequency,20251210_155950.JPG_T1,20251210_155950.JPG_T2,20251210_155950.JPG_T3,20251210_155950.JPG_T4,20251210_155519.JPG_T5,20251210_155519.JPG_T6,20251210_155519.JPG_T7,20251210_155519.JPG_T8,20251210_155519.JPG_T9,20251210_155519.JPG_T10,20251210_155519.JPG_T11,20251210_155519.JPG_T12,20251210_155519.JPG_T13,20251210_155519.JPG_T14,20251210_155530.JPG_T15,20251210_155530.JPG_T16,20251210_155530.JPG_T17,20251210_155530.JPG_T18,20251210_155530.JPG_T19,20251210_155530.JPG_T20,20251210_155530.JPG_T21,20251210_155530.JPG_T22,20251210_155530.JPG_T23,20251210_155530.JPG_T24,20251210_155530.JPG_T25,20251210_155530.JPG_T26,20251210_155530.JPG_T27,20251210_155614.JPG_T28,20251210_155614.JPG_T29,20251210_155614.JPG_T30,20251210_155614.JPG_T31,20251210_155614.JPG_T32,20251210_155614.JPG_T33,20251210_155713.JPG_T34,20251210_155713.JPG_T35,20251210_155748.JPG_T36,20251210_155748.JPG_T37,20251210_155748.JPG_T38,20251210_155819.JPG_T39,20251210_155819.JPG_T40
0.22558148,72.4210,5.3068,35.4873,15.2377,807.5942,29.1805,8.5889,382.9569,146.8069,50439.7516,2776.9207,36.5694,7.8641,100.1988,127.9948,20.3691,37.2843,25.2284,67.1291,238.9849,301.0162,2473.1324,10557.8278,38.5848,2165.5335,3445.4708,1996.0725,1363.9512,0.8962,3.4796,41.8669,895.5023,19.7545,166.1948,12.6422,10.4557,640.7413,209.4641,23.1516,2816.2250
0.22631627,157.4358,0.0602,85.6342,1.7619,1315.9038,60.8297,100.9046,200.9834,201.9775,358.5101,2187.7899,24.6236,4.2279,72.0405,151.8077,5.5796,10.5553,17.0044,77.2710,189.9470,257.4627,4095.8791,3040.4531,652.5867,1500.9625,752.7508,799.1197,761.4995,0.2625,17.4378,146.0813,466.7428,18.2730,241.5588,50.7488,24.7441,524.5783,215.3082,31.8166,125.0463
0.22705106,64.3228,3.6957,77.4767,15.4379,264.1091,303.3986,80.9432,175.3446,320.8527,67452.6851,1313.6750,31.3869,4.9084,96.7527,51.0155,21.7123,2.3407,2.0220,42.8188,310.7492,6.5086,3513.5648,364.5168,187.6251,869.2327,9796.8129,3202.4618,148.8635,1.3238,7.9610,96.5111,322.3924,7.1975,121.9636,10.5278,170.5912,451.8211,86.9837,28.3737,294.1051
0.22778586,7.6452,14.8024,2.8197,60.3120,838.7805,182.9949,36.6272,363.5389,85.5846,100673.5576,9027.5522,89.5128,7.0208,463.3463,9.7511,18.0829,12.5427,5.3170,10.6272,324.3876,66.3707,2178.5154,2028.0522,300.0395,1179.0474,2738.0912,3647.8112,81.0900,1.4028,1.3376,12.8570,523.9113,17.2311,11.9598,22.6992,91.7016,201.9871,224.5280,10.9460,3560.7196
0.22852065,45.7872,12.3138,67.2346,3.9812,458.3253,15.2644,3.4953,726.0670,403.0461,109737.0716,51067.5309,108.2061,4.6769,215.1868,40.7107,104.5653,15.6243,16.3628,15.7625,56.9618,262.3641,430.4080,5793.6596,159.4384,1374.9141,878.4815,566.9276,314.2836,0.6660,6.4335,84.4837,802.8575,6.1917,15.0793,51.3866,35.8416,6.5304,627.9475,193.5430,10471.7778
0.22925544,47.8093,8.6158,146.3013,0.0294,640.6345,91.1185,57.9335,473.1099,127.9031,11756.4982,54268.8786,136.0787,6.5625,664.1551,35.0399,282.2010,11.7945,6.0292,34.8402,149.5097,106.4158,386.3909,5895.0344,19.4165,1411.3303,658.3136,471.8804,52.2851,0.0472,1.5096,20.5730,2313.5073,24.0028,57.1944,39.5001,12.6172,755.6452,560.9457,63.9192,4448.1185
0.22999024,8.8181,6.4744,123.4014,9.3798,1001.1658,181.8959,54.7181,221.5892,405.5927,6735.3054,45006.6147,45.3760,0.3490,680.3855,18.4871,63.8637,13.8988,1.0305,51.0470,186.6802,459.6913,589.8580,3283.9025,291.3367,2821.4352,2021.6215,103.1876,781.7191,0.5208,25.8468,19.1423,3412.5672,3.6946,312.2187,7.2699,22.2389,879.0335,75.9574,27.7349,387.7300
0.23072503,38.7866,4.2774,67.9586,12.9955,557.1658,97.9433,59.5561,20.5476,812.0259,64386.2324,43136.7041,50.9313,3.5738,226.0796,108.8512,63.0696,9.8046,4.5868,49.3907,41.9530,206.9956,202.1857,2114.7556,84.2935,2514.9190,876.6028,1727.5490,526.7719,2.6701,19.8092,86.1573,1401.9974,18.7067,502.5002,2.1723,9.2899,92.1889,11.8383,8.9220,1339.4057
0.23145982,18.1541,1.2188,29.7267,18.1359,259.4143,134.3170,98.6562,5.4713,559.0841,56967.0083,12038.3117,43.2774,6.2319,291.1070,113.6012,6.3132,4.7153,7.0293,104.5027,47.1142,150.5260,603.5684,150.1246,487.3232,1741.0207,1795.7207,3080.6822,202.7477,2.4828,17.0391,161.0886,1182.9190,19.1935,176.0406,75.5143,22.6030,421.7990,173.0412,18.5515,4105.8988
0.23219462,46.3689,2.1778,16.4611,22.0550,959.2933,65.2119,38.1052,78.8126,919.5133,69645.4538,5425.7692,175.8820,11.2908,749.4287,43.7625,30.2681,3.3068,14.6847,55.0487,79.4874,524.1509,681.4135,994.1832,9.6128,870.8265,912.0547,2087.7873,295.3655,0.8543,9.9442,60.5784,2267.4398,16.4646,324.0002,368.9152,28.8712,1187.5772,590.9693,2.0297,2455.7706
