file,genus,mag,area_um2,equiv_diameter_um,perimeter_um,circularity,solidity
Pink_10X_1.TIF,Aspergillus,10,238.0,17.4078,87.0,0.3951,0.7414
Pink_10X_1.TIF,Aspergillus,10,394.0,22.3977,110.0,0.4092,0.6823
Pink_10X_1.TIF,Aspergillus,10,69.0,9.373,36.0,0.669,1.104
Pink_10X_1.TIF,Aspergillus,10,118.0,12.2573,36.0,1.1442,1.0826
Pink_10X_1.TIF,Aspergillus,10,288.0,19.1492,58.0,1.0758,1.0827
Pink_10X_1.TIF,Aspergillus,10,88.0,10.5851,31.0,1.1507,1.1503
Pink_10X_1.TIF,Aspergillus,10,337.0,20.7143,74.0,0.7734,0.9335
Pink_10X_1.TIF,Aspergillus,10,59.0,8.6672,27.0,1.017,1.2041
Pink_10X_1.TIF,Aspergillus,10,238.0,17.4078,56.0,0.9537,1.0106
Pink_10X_1.TIF,Aspergillus,10,61.0,8.8129,24.0,1.3308,1.1845
Pink_10X_1.TIF,Aspergillus,10,102.0,11.3961,45.0,0.633,0.8681
Pink_10X_1.TIF,Aspergillus,10,190.0,15.5536,50.0,0.955,1.0734
Pink_10X_1.TIF,Aspergillus,10,165.0,14.4943,76.0,0.359,0.5749
Pink_10X_1.TIF,Aspergillus,10,64.0,9.027,33.0,0.7385,1.0847
Pink_10X_1.TIF,Aspergillus,10,230.0,17.1127,62.0,0.7519,0.9544
Pink_10X_1.TIF,Aspergillus,10,168.0,14.6255,51.0,0.8117,0.9767
Pink_10X_1.TIF,Aspergillus,10,264.0,18.334,77.0,0.5595,0.88
Pink_10X_1.TIF,Aspergillus,10,119.0,12.3092,36.0,1.1539,1.1388
Pink_10X_1.TIF,Aspergillus,10,73.0,9.6409,36.0,0.7078,1.2807
Pink_10X_1.TIF,Aspergillus,10,52.0,8.1369,24.0,1.1345,1.3165
Pink_10X_1.TIF,Aspergillus,10,99.0,11.2272,39.0,0.8179,1.0645
Pink_10X_1.TIF,Aspergillus,10,57.0,8.5191,29.0,0.8517,1.2527
Pink_10X_1.TIF,Aspergillus,10,164.0,14.4503,44.0,1.0645,1.0933
Pink_10X_1.TIF,Aspergillus,10,661.0,29.0105,152.0,0.3595,0.6436
Pink_10X_1.TIF,Aspergillus,10,256.0,18.0541,52.0,1.1897,1.0734
Pink_10X_1.TIF,Aspergillus,10,111.0,11.8882,33.0,1.2809,1.1623
Pink_10X_1.TIF,Aspergillus,10,97.0,11.1132,40.0,0.7618,1.0838
Pink_10X_1.TIF,Aspergillus,10,1237.0,39.6862,248.0,0.2527,0.4522
Pink_10X_1.TIF,Aspergillus,10,120.0,12.3608,46.0,0.7126,1.0667
Pink_10X_1.TIF,Aspergillus,10,882.0,33.5112,187.0,0.317,0.5992
Pink_10X_1.TIF,Aspergillus,10,52.0,8.1369,23.0,1.2353,1.253
Pink_10X_1.TIF,Aspergillus,10,80.0,10.0925,42.0,0.5699,1.0884
Pink_10X_1.TIF,Aspergillus,10,158.0,14.1835,52.0,0.7343,0.9937
Pink_10X_1.TIF,Aspergillus,10,986.0,35.4318,128.0,0.7563,0.9377
Pink_10X_1.TIF,Aspergillus,10,146.0,13.6343,37.0,1.3402,1.1274
Pink_10X_1.TIF,Aspergillus,10,329.0,20.4669,73.0,0.7758,0.936
Pink_10X_1.TIF,Aspergillus,10,262.0,18.2644,60.0,0.9146,1.0804
Pink_10X_1.TIF,Aspergillus,10,152.0,13.9116,60.0,0.5306,1.0033
Pink_10X_1.TIF,Aspergillus,10,464.0,24.306,81.0,0.8887,0.9936
Pink_10X_1.TIF,Aspergillus,10,1505.0,43.7747,274.0,0.2519,0.615
Pink_10X_1.TIF,Aspergillus,10,1120.0,37.7628,173.0,0.4703,0.7497
Pink_10X_1.TIF,Aspergillus,10,142.0,13.4462,43.0,0.9651,1.1094
Pink_10X_1.TIF,Aspergillus,10,83.0,10.28,28.0,1.3304,1.1857
Pink_10X_1.TIF,Aspergillus,10,91.0,10.7641,33.0,1.0501,1.1304
Pink_10X_1.TIF,Aspergillus,10,68.0,9.3049,35.0,0.6976,1.2593
Pink_10X_1.TIF,Aspergillus,10,67.0,9.2362,26.0,1.2455,1.2294
Pink_10X_1.TIF,Aspergillus,10,157.0,14.1386,41.0,1.1737,1.1056
Pink_10X_1.TIF,Aspergillus,10,277.0,18.78,60.0,0.9669,1.0109
Pink_10X_1.TIF,Aspergillus,10,463.0,24.2798,120.0,0.404,0.801
Pink_10X_1.TIF,Aspergillus,10,1094.0,37.3219,175.0,0.4489,0.6155
Pink_10X_1.TIF,Aspergillus,10,56.0,8.444,30.0,0.7819,1.098
