file,genus,alpha,hf_ratio,glcm,dt_um,f_tissue,capacity
20251214_221838.JPG,Aspergillus,-3.0424265002824824,0.0039212439414425294,4.114995381658828,7.341634695352254,0.30709052334353415,2.2545464407927716
20251214_221853.JPG,Aspergillus,-2.998953112221114,0.004439952966527205,3.9053180664820517,6.843303295923687,0.2958769115157415,2.024775443763395
20251214_221920.JPG,Aspergillus,-2.939081150338855,0.004507380123392709,5.192575161970021,7.341634695352254,0.31101120916827374,2.2833306838732557
20251214_221942.JPG,Aspergillus,-3.162932674843421,0.0037723310604761582,5.087530937393865,7.341634695352254,0.2942651206518333,2.1603870194095163
20251214_222017.JPG,Aspergillus,-3.097593562644775,0.0032384413272877883,5.37959644059188,7.578522283400636,0.30251524420997983,2.2926185193137174
20251214_222031.JPG,Aspergillus,-3.0838702747724733,0.0031286728696398687,5.3697587378993905,7.158826719512073,0.30400813164473506,2.176341535767273
20251214_222052.JPG,Aspergillus,-2.947361809906031,0.003963744304437274,4.718585286745555,7.341634695352254,0.30582169137419407,2.2452311399840923
20251214_222121.JPG,Aspergillus,-2.9442470740259927,0.0044971322540796905,4.569094087412786,6.778436397872299,0.28420285888077856,1.9264510030168338
20251214_222146.JPG,Aspergillus,-3.0945995512089475,0.003244397841247364,5.345787974904631,7.158826719512073,0.2994753688678922,2.143892272487201
20251214_222205.JPG,Aspergillus,-3.02127857572995,0.003586147011509693,4.94034004485701,6.843303295923687,0.30157283087636094,2.0637543474972375
20251214_222452.JPG,Aspergillus,-3.02941383831699,0.0043534683495293405,3.8714225838019107,7.158826719512073,0.30320824616646236,2.170615294232865
20251214_222530.JPG,Aspergillus,-2.738533675424962,0.005883717695910726,4.936189240164883,7.341634695352254,0.28862537256633974,2.1189820491920104
20251214_222552.JPG,Aspergillus,-3.034071870345204,0.0038810839457831315,4.253993966616761,7.52,0.2982384751615521,2.2427533332148717
20251210_155519.JPG,Mucor,-3.661125568321136,0.003833024480966585,12.70963918841245,4.699999999999999,0.2724821921543233,1.2806663031253194
20251210_155530.JPG,Mucor,-3.5673927598121735,0.004015078023141586,8.478369696101023,4.699999999999999,0.2725462207721588,1.280967237629146
20251210_155700.JPG,Mucor,-3.539978230498441,0.0062077990652497,9.465836825007841,4.203807797699604,0.23776451197668003,0.9995163094638085
20251210_155743.JPG,Mucor,-3.622173935420568,0.004772775952443636,9.566058006352321,4.699999999999999,0.27089029007997095,1.2731843633758633
20251210_155748.JPG,Mucor,-3.524777184676294,0.006317925927257705,15.604162932297086,3.9880822458921275,0.2600855996068152,1.0372427622041482
20251210_155753.JPG,Mucor,-4.2568844267886625,0.0018119312002114773,17.97897427331931,3.875719288080601,0.22782958745621282,0.8830035264994901
20251210_155801.JPG,Mucor,-3.23057461871356,0.009158850872791755,12.80711317885909,4.699999999999999,0.23986690484577064,1.127374452775122
20251210_155811.JPG,Mucor,-3.561706037810438,0.006148987664449504,10.955605341769072,3.9880822458921275,0.23985449029828204,0.9565594343560841
20251210_155819.JPG,Mucor,-3.736370395909703,0.004435296931924956,21.449025169119817,3.9880822458921275,0.2619040400153307,1.0444948521125617
20251210_155850.JPG,Mucor,-2.7612916638606926,0.02509199424387005,34.79204720743604,2.9725410005582766,0.2806172960923158,0.8341464181002105
20251210_155926.JPG,Mucor,-3.1078368510549033,0.009705172769905207,6.495729003090875,3.9880822458921275,0.2761538868323638,1.1013244132102538
