file,genus,porosity,D_eff_ratio,tortuosity
20251214_221838.JPG,Aspergillus,0.6966363300036996,0.41480165500308896,1.6794444322998467
20251214_221853.JPG,Aspergillus,0.707339051877538,0.6051473762827234,1.1688707240582514
20251214_221920.JPG,Aspergillus,0.6917610481900955,0.44390733455379583,1.5583456148239494
20251214_221942.JPG,Aspergillus,0.7086694150684113,0.6577268535885418,1.077452457964774
20251214_222017.JPG,Aspergillus,0.7001972386587771,0.7585414659968847,0.9230836678632581
20251214_222031.JPG,Aspergillus,0.6987964774951076,0.4032851016668473,1.7327604580651768
20251214_222052.JPG,Aspergillus,0.6969904240766074,0.32284396272412547,2.158908031593563
20251214_222121.JPG,Aspergillus,0.7183219512195121,0.5374100537398941,1.336636607783261
20251214_222146.JPG,Aspergillus,0.7036290506878742,0.4568121319093498,1.5403028981452336
20251214_222205.JPG,Aspergillus,0.7011583956908293,0.5656321574071229,1.2396013672648374
20251214_222452.JPG,Aspergillus,0.7001646875270867,0.6092866506995136,1.149154813622188
20251214_222530.JPG,Aspergillus,0.7143694905817946,0.6259464473155629,1.1412629525184512
20251214_222552.JPG,Aspergillus,0.704950213371266,0.41719522527904873,1.689737011970228
20251210_155519.JPG,Mucor,0.7318599897802759,0.431769856157775,1.695023354091777
20251210_155530.JPG,Mucor,0.731647634584013,0.7394562903773256,0.9894400035608216
20251210_155700.JPG,Mucor,0.7672458470854586,0.4290970142953176,1.7880475079638207
20251210_155743.JPG,Mucor,0.7332495391318921,0.4559851174853715,1.6080558575585868
20251210_155748.JPG,Mucor,0.7450273687456634,0.5796735310369941,1.2852533863550113
20251210_155753.JPG,Mucor,0.7763066781153921,0.8894423992655323,0.8728015200944285
20251210_155801.JPG,Mucor,0.7644375115315587,0.5091443293819351,1.5014161356948261
20251210_155811.JPG,Mucor,0.7645937376960855,0.6621196727873611,1.1547666820974127
20251210_155819.JPG,Mucor,0.7427760481138327,0.43506782455294146,1.7072649508776707
20251210_155850.JPG,Mucor,0.7273800157356413,0.24919314693080025,2.9189406879541164
20251210_155926.JPG,Mucor,0.7293135593220339,0.5073455781146428,1.4375084573167087
