threshold_std_multiplier,asp_mean_dt_um,muc_mean_dt_um,ratio,p_welch,n_asp,n_muc
0.3,7.963155974197354,4.647991998698311,1.7132464893286108,9.233985841251076e-12,13,11
0.4,7.545440350895803,4.401512861185414,1.714283381388023,1.796341942245333e-10,13,11
0.5,7.211401454493677,4.1640360972642725,1.7318297166615562,7.137206869197002e-11,13,11
0.6,6.8102227283743435,4.058151923116722,1.6781586439829461,3.8950028780000573e-10,13,11
0.7,6.594024223431626,3.95883001397506,1.6656497500913328,2.3153366492973462e-09,13,11
