file,genus,mag,f_tissue,perimeter_density,dt_median_um,absorbing_capacity,specific_surface
Pink_10X_1.TIF,Aspergillus,10,0.5543644428253174,0.02104640007019043,71.0,39.359875440597534,0.03796491701907772
Pink_10X_2.TIF,Aspergillus,10,0.471268892288208,0.03782033920288086,25.0,11.7817223072052,0.08025214441642278
Pink_20X_1.TIF,Aspergillus,20,0.607708215713501,0.03147268295288086,39.81519810323691,24.19602299759767,0.051789135211754975
Pink_20X_2.TIF,Aspergillus,20,0.3307926654815674,0.08095550537109375,8.631338250816034,2.8551833866604452,0.24473186324502955
Pink_40X_1.TIF,Aspergillus,40,0.48856186866760254,0.07068061828613281,14.75,7.2062875628471375,0.14467076294531903
Pink_40X_2.TIF,Aspergillus,40,0.35757994651794434,0.2136850357055664,9.12414379544733,3.2626108503980897,0.5975867432902675
White_10X_1.TIF,Mucor,10,0.3559901714324951,0.06704282760620117,6.708203932499369,2.3880546679345884,0.18832774887133144
White_20X_1.TIF,Mucor,20,0.3540515899658203,0.15177679061889648,3.0,1.062154769897461,0.4286855218855219
White_40X_1.TIF,Mucor,40,0.3501551151275635,0.3019723892211914,1.6007810593582121,0.5605216761335978,0.862396052992632
