file,genus,f_tissue,perimeter_density,dt_median_um,absorbing_capacity,specific_surface
20251214_221838.JPG,Aspergillus,0.30709052334353415,0.04489897271362636,7.341634695352254,2.2545464407927716,0.1462076140441464
20251214_221853.JPG,Aspergillus,0.2958769115157415,0.04484276914012993,6.843303295923687,2.024775443763395,0.15155886584865938
20251214_221920.JPG,Aspergillus,0.31101120916827374,0.04500093703360613,7.341634695352254,2.2833306838732557,0.14469233168139034
20251214_221942.JPG,Aspergillus,0.2942651206518333,0.04361476360658754,7.341634695352254,2.1603870194095163,0.14821587930630545
20251214_222017.JPG,Aspergillus,0.30251524420997983,0.04215434337469765,7.578522283400636,2.2926185193137174,0.1393461790158177
20251214_222031.JPG,Aspergillus,0.30400813164473506,0.04556482516814446,7.158826719512073,2.176341535767273,0.1498802841938178
20251214_222052.JPG,Aspergillus,0.30582169137419407,0.043713298313221745,7.341634695352254,2.2452311399840923,0.14293720669975463
20251214_222121.JPG,Aspergillus,0.28420285888077856,0.0445261945436662,6.778436397872299,1.9264510030168338,0.15667046671879073
20251214_222146.JPG,Aspergillus,0.2994753688678922,0.044810914765180024,7.158826719512073,2.143892272487201,0.149631386830172
20251214_222205.JPG,Aspergillus,0.30157283087636094,0.04599845996845757,6.843303295923687,2.0637543474972375,0.15252852796714983
20251214_222452.JPG,Aspergillus,0.30320824616646236,0.04484077180337531,7.158826719512073,2.170615294232865,0.1478877054641765
20251214_222530.JPG,Aspergillus,0.28862537256633974,0.04280943442886597,7.341634695352254,2.1189820491920104,0.14832179876710716
20251214_222552.JPG,Aspergillus,0.2982384751615521,0.04301355365185153,7.52,2.2427533332148717,0.14422536739618058
20251210_155519.JPG,Mucor,0.2724821921543233,0.06684664863946344,4.699999999999999,1.2806663031253194,0.24532483429817714
20251210_155530.JPG,Mucor,0.2725462207721588,0.06180184362454156,4.699999999999999,1.280967237629146,0.22675729441211448
20251210_155700.JPG,Mucor,0.23776451197668003,0.06087005129353999,4.203807797699604,0.9995163094638085,0.2560098258040717
20251210_155743.JPG,Mucor,0.27089029007997095,0.060625982039369516,4.699999999999999,1.2731843633758633,0.22380271371658175
20251210_155748.JPG,Mucor,0.2600855996068152,0.06845838691713266,3.9880822458921275,1.0372427622041482,0.263214830119871
20251210_155753.JPG,Mucor,0.22782958745621282,0.06320854570583903,3.875719288080601,0.8830035264994901,0.2774378271566122
20251210_155801.JPG,Mucor,0.23986690484577064,0.058813180005089054,4.699999999999999,1.127374452775122,0.24519089051865944
20251210_155811.JPG,Mucor,0.23985449029828204,0.0636105818624033,3.9880822458921275,0.9565594343560841,0.26520488227382133
20251210_155819.JPG,Mucor,0.2619040400153307,0.06860891502539788,3.9880822458921275,1.0444948521125617,0.261962033962446
20251210_155850.JPG,Mucor,0.2806172960923158,0.10009151223976208,2.9725410005582766,0.8341464181002105,0.3566833321878869
20251210_155926.JPG,Mucor,0.2761538868323638,0.07311509164350732,3.9880822458921275,1.1013244132102538,0.2647621312963487
