Time_min,Temp_mean,Temp_std,Temp_sem,Temp_CI95_low,Temp_CI95_high,Temp_n,Hum_mean,Hum_std,Hum_sem,Hum_CI95_low,Hum_CI95_high,Hum_n
0.0,27.292307692307695,1.138461538461538,0.3157524193897457,26.673432950303795,27.911182434311595,13,29.146153846153844,1.0262818510866414,0.28463937209007567,28.588260676857296,29.704047015450392,13
0.016666666666666666,27.176923076923078,1.3068775742520182,0.362462623439973,26.466496334980732,27.887349818865424,13,29.246153846153845,1.1119043848041728,0.30838679021728366,28.64171573732797,29.85059195497972,13
0.03333333333333333,27.184615384615388,1.3143270602486183,0.3645287391120186,26.47013905595583,27.899091713274945,13,29.23076923076923,1.1248142515952204,0.3119673430384015,28.619313238413962,29.842225223124498,13
0.05,27.17692307692308,1.30864218894938,0.36295203949941723,26.465537079504223,27.88830907434194,13,29.207692307692305,1.113871652916797,0.3089324122213338,28.60218477973849,29.81319983564612,13
0.06666666666666667,27.17692307692308,1.30864218894938,0.36295203949941723,26.465537079504223,27.88830907434194,13,29.207692307692305,1.113871652916797,0.3089324122213338,28.60218477973849,29.81319983564612,13
0.08333333333333333,27.123076923076926,1.3191803085213685,0.3658747879966307,26.40596233860353,27.840191507550323,13,29.215384615384615,1.1244459516690217,0.31186519501773546,28.604128833149854,29.826640397619375,13
0.1,27.053846153846152,1.3100883027287689,0.36335311929801273,26.341674040022045,27.76601826767026,13,29.215384615384615,1.1244459516690217,0.31186519501773546,28.604128833149854,29.826640397619375,13
0.11666666666666667,26.815384615384612,1.6663392183263723,0.46215934569171685,25.909552297828846,27.72121693294038,13,29.223076923076924,1.1321550900512678,0.3140033253044151,28.607630405480272,29.838523440673576,13
0.13333333333333333,26.676923076923075,1.6366729132151212,0.4539313930584726,25.787217546528467,27.566628607317682,13,29.24615384615385,1.1705458191770624,0.32465099779406903,28.609837890477472,29.882469801830226,13
0.15,26.676923076923075,1.6366729132151212,0.4539313930584726,25.787217546528467,27.566628607317682,13,29.24615384615385,1.1705458191770624,0.32465099779406903,28.609837890477472,29.882469801830226,13
0.16666666666666666,26.492307692307687,1.495357707893404,0.41473760699769,25.679421982592213,27.30519340202316,13,29.27692307692308,1.189798849291404,0.32999082758524684,28.630141054855997,29.923705098990162,13
0.18333333333333332,25.94615384615384,1.5259878942031087,0.42323289217589427,25.11661737748909,26.775690314818593,13,29.27692307692308,1.189798849291404,0.32999082758524684,28.630141054855997,29.923705098990162,13
0.2,25.430769230769233,1.6377210316518478,0.45422208880973236,24.54049393670216,26.321044524836307,13,29.315384615384612,1.2346573201600726,0.34243232888185393,28.64421725077618,29.986551979993045,13
0.21666666666666667,25.430769230769233,1.6377210316518478,0.45422208880973236,24.54049393670216,26.321044524836307,13,29.315384615384612,1.2346573201600726,0.34243232888185393,28.64421725077618,29.986551979993045,13
0.23333333333333334,24.86923076923077,1.6064220229990411,0.4455413056890488,23.995969810080236,25.742491728381307,13,29.361538461538462,1.1829158637994512,0.32808183088374604,28.71849807300632,30.004578850070605,13
