,metric,groups_tested,KW_H,KW_p,group_A,median_A,IQR_A,group_B,median_B,IQR_B,U,p_raw,p_bonf,Cliff_d,effect_size,linear_R2,linear_p,quad_coeff,F_for_curvature,p_curvature,curvature_sig,OLS_slope,OLS_slope_SE,OLS_slope_95CI,OLS_intercept,TheilSen_slope,TheilSen_95CI,slope_pct_diff,Pearson_r,Pearson_p,R2,R2_boot_95CI,Spearman_rho,Spearman_p,regression,n,slope_SE,slope_95CI,intercept,intercept_SE,intercept_95CI,p_value,slope_pct_diff_OLS_vs_TS,Healthy_median,Healthy_IQR,Diseased_median,Diseased_IQR,MW_U,MW_p,Welch_t,Welch_p,effect,analysis,min_detectable_f2,min_detectable_R2,alpha,power,section,group,statistic
═══ KRUSKAL-WALLIS TESTS ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,White,126.2,123–131.6,Black,111.7,98–125.4,19.0,0.2222,1,0.520,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,Agar,0.283,0.1757–0.2929,0.5:1,0.7022,0.6251–0.7342,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,Agar,0.283,0.1757–0.2929,1:1,1.025,0.791–1.026,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,Agar,0.283,0.1757–0.2929,2:1,1.666,1.654–1.832,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,Agar,0.283,0.1757–0.2929,Green,0.5498,0.5201–0.6539,3.0,0.05556,1,-0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,Agar,0.283,0.1757–0.2929,White,0.4398,0.3791–0.6044,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,Agar,0.283,0.1757–0.2929,Black,0.2752,0.2273–0.2929,10.0,0.6905,1,-0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,0.5:1,0.7022,0.6251–0.7342,1:1,1.025,0.791–1.026,3.0,0.05556,1,-0.760,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,0.5:1,0.7022,0.6251–0.7342,2:1,1.666,1.654–1.832,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,0.5:1,0.7022,0.6251–0.7342,Green,0.5498,0.5201–0.6539,21.0,0.09524,1,0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,0.5:1,0.7022,0.6251–0.7342,White,0.4398,0.3791–0.6044,23.0,0.03175,0.6667,0.840,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,0.5:1,0.7022,0.6251–0.7342,Black,0.2752,0.2273–0.2929,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,1:1,1.025,0.791–1.026,2:1,1.666,1.654–1.832,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,1:1,1.025,0.791–1.026,Green,0.5498,0.5201–0.6539,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,1:1,1.025,0.791–1.026,White,0.4398,0.3791–0.6044,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,1:1,1.025,0.791–1.026,Black,0.2752,0.2273–0.2929,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,2:1,1.666,1.654–1.832,Green,0.5498,0.5201–0.6539,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,,,,2:1,1.666,1.654–1.832,White,0.4398,0.3791–0.6044,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
