metric,group_A,median_A,IQR_A,group_B,median_B,IQR_B,U,p_raw,p_bonf,Cliff_d,effect_size
dtau50_dr,0.5:1,0.8292,0.8174–0.8419,Black,0.1866,0.07143–0.2894,20.0,0.1508,1,0.600,large
dtau50_dr,1:1,0.9048,0.881–1.085,2:1,1.763,1.745–2.138,0.0,0.007937,0.1667,-1.000,large
dtau50_dr,1:1,0.9048,0.881–1.085,Green,0.386,0.3259–0.3946,25.0,0.007937,0.1667,1.000,large
dtau50_dr,1:1,0.9048,0.881–1.085,White,0.6515,0.4739–0.6711,23.0,0.03175,0.6667,0.840,large
dtau50_dr,1:1,0.9048,0.881–1.085,Black,0.1866,0.07143–0.2894,21.0,0.09524,1,0.680,large
dtau50_dr,2:1,1.763,1.745–2.138,Green,0.386,0.3259–0.3946,25.0,0.007937,0.1667,1.000,large
dtau50_dr,2:1,1.763,1.745–2.138,White,0.6515,0.4739–0.6711,25.0,0.007937,0.1667,1.000,large
dtau50_dr,2:1,1.763,1.745–2.138,Black,0.1866,0.07143–0.2894,25.0,0.007937,0.1667,1.000,large
dtau50_dr,Green,0.386,0.3259–0.3946,White,0.6515,0.4739–0.6711,5.0,0.1508,1,-0.600,large
dtau50_dr,Green,0.386,0.3259–0.3946,Black,0.1866,0.07143–0.2894,19.0,0.2222,1,0.520,large
dtau50_dr,White,0.6515,0.4739–0.6711,Black,0.1866,0.07143–0.2894,18.0,0.3095,1,0.440,medium
max_slope,Agar,0.01105,0.01034–0.01804,0.5:1,0.03286,0.02871–0.04651,0.0,0.007937,0.1667,-1.000,large
max_slope,Agar,0.01105,0.01034–0.01804,1:1,0.02724,0.02127–0.02887,4.0,0.09524,1,-0.680,large
max_slope,Agar,0.01105,0.01034–0.01804,2:1,0.04324,0.02907–0.04404,0.0,0.007937,0.1667,-1.000,large
max_slope,Agar,0.01105,0.01034–0.01804,Green,0.06498,0.05162–0.07398,0.0,0.007937,0.1667,-1.000,large
max_slope,Agar,0.01105,0.01034–0.01804,White,0.03017,0.0266–0.04553,3.0,0.05556,1,-0.760,large
max_slope,Agar,0.01105,0.01034–0.01804,Black,0.02706,0.01299–0.03581,7.0,0.3095,1,-0.440,medium
max_slope,0.5:1,0.03286,0.02871–0.04651,1:1,0.02724,0.02127–0.02887,19.0,0.2222,1,0.520,large
max_slope,0.5:1,0.03286,0.02871–0.04651,2:1,0.04324,0.02907–0.04404,12.0,1,1,-0.040,negligible
max_slope,0.5:1,0.03286,0.02871–0.04651,Green,0.06498,0.05162–0.07398,4.0,0.09524,1,-0.680,large
max_slope,0.5:1,0.03286,0.02871–0.04651,White,0.03017,0.0266–0.04553,15.0,0.6905,1,0.200,small
max_slope,0.5:1,0.03286,0.02871–0.04651,Black,0.02706,0.01299–0.03581,17.0,0.4206,1,0.360,medium
max_slope,1:1,0.02724,0.02127–0.02887,2:1,0.04324,0.02907–0.04404,3.0,0.05556,1,-0.760,large
max_slope,1:1,0.02724,0.02127–0.02887,Green,0.06498,0.05162–0.07398,1.0,0.01587,0.3333,-0.920,large
max_slope,1:1,0.02724,0.02127–0.02887,White,0.03017,0.0266–0.04553,8.0,0.4206,1,-0.360,medium
max_slope,1:1,0.02724,0.02127–0.02887,Black,0.02706,0.01299–0.03581,13.0,1,1,0.040,negligible
max_slope,2:1,0.04324,0.02907–0.04404,Green,0.06498,0.05162–0.07398,4.0,0.09524,1,-0.680,large
max_slope,2:1,0.04324,0.02907–0.04404,White,0.03017,0.0266–0.04553,15.0,0.6905,1,0.200,small
max_slope,2:1,0.04324,0.02907–0.04404,Black,0.02706,0.01299–0.03581,19.0,0.2222,1,0.520,large
max_slope,Green,0.06498,0.05162–0.07398,White,0.03017,0.0266–0.04553,22.0,0.05556,1,0.760,large
max_slope,Green,0.06498,0.05162–0.07398,Black,0.02706,0.01299–0.03581,24.0,0.01587,0.3333,0.920,large
max_slope,White,0.03017,0.0266–0.04553,Black,0.02706,0.01299–0.03581,15.0,0.6905,1,0.200,small
