panel,n,p_value,slope_est,slope_lo,slope_hi,intercept_est,intercept_lo,intercept_hi,r2_est,r2_lo,r2_hi,spearman_rho_est,spearman_rho_lo,spearman_rho_hi,slope_formatted,intercept_formatted,r2_formatted,spearman_formatted
2F (delta vs 1-aw),20,2.718813694033727e-11,3007.324424647364,2445.6936569902173,3453.324156462042,69.51100222717145,16.775777324944674,107.30171458051676,0.9195491956044541,0.8604915503279404,0.9678502949821541,0.953947083225262,0.8665581206921897,0.9715435613417104,"3007.3 [2445.7, 3453.3]","69.511 [16.776, 107.302]","0.920 [0.860, 0.968]","0.954 [0.867, 0.972]"
2H (zone metric vs 1-aw),20,4.929467847895342e-11,5.781063670599939,4.898482532956668,6.60464294091993,0.25756081238945017,0.16950135808202094,0.35165721914710946,0.9140758684534895,0.8299224103367164,0.9672164899362165,0.9461914158819672,0.8387924315865698,0.9704412501360388,"5.781 [4.898, 6.605]","0.258 [0.170, 0.352]","0.914 [0.830, 0.967]","0.946 [0.839, 0.970]"
2K (dtau/dr vs 1-aw),20,7.574809815993418e-10,7.078971627443634,5.713393562336937,8.377573721673018,0.11429200712644483,-0.00485428552240154,0.28364050630414867,0.8837931231482256,0.7757648659275883,0.957808906114662,0.9461914158819672,0.839037725493811,0.9715435613417104,"7.079 [5.713, 8.378]","0.114 [-0.005, 0.284]","0.884 [0.776, 0.958]","0.946 [0.839, 0.972]"
2L Total (dtau/dr vs 1-aw),20,7.574809815993418e-10,7.078971627443634,5.655775388100457,8.402035711763183,0.11429200712644483,-0.004058958665092056,0.2871814356746851,0.8837931231482256,0.7713629268319772,0.9572469828449423,0.9461914158819672,0.8373962791279111,0.9714364344599525,"7.079 [5.656, 8.402]","0.114 [-0.004, 0.287]","0.884 [0.771, 0.957]","0.946 [0.837, 0.971]"
2L Size channel,20,2.8157269648921218e-09,6.553975199999071,5.390745395049392,7.791573245794853,-0.10066902251385623,-0.21110056977818142,0.05482098342812715,0.8656786064357573,0.7358033571472674,0.951704713699487,0.9229244138520829,0.7894638988573878,0.9651749937631804,"6.554 [5.391, 7.792]","-0.101 [-0.211, 0.055]","0.866 [0.736, 0.952]","0.923 [0.789, 0.965]"
