x,y
5676.35090518925,1412.9756097560971
5673.735608674046,1492.4008559937447
5665.900040508963,1571.5126470704356
5652.875124101817,1649.9987648895296
5634.712262847152,1727.5494606008913
5611.483137260515,1803.8586770380907
5583.279422088219,1878.6252565862148
5550.212424508998,1951.5541297133886
5512.412644855423,2022.3574794754118
5470.029261588711,2090.755877397747
5423.2295425594875,2156.479386252051
5372.198184878004,2219.2686253750903
5317.13658599902,2278.8757943257215
5258.262048898058,2335.0656508400216
5195.80692447584,2387.6164392250316
5130.0176945754265,2436.320765527168
5061.1539992309945,2480.9864160214065
4989.487611987239,2521.437115791041
4915.3013673333535,2557.513224404247
4838.888044484515,2589.0723659419345
4760.549211916082,2615.9899908904554
4680.594037210593,2638.15986768163
4599.338066914567,2655.4945019402185
4517.1019812204395,2667.925481784241
4434.2103283883525,2675.403747815429
4350.990243902439,2677.8997867342523
4267.7701594165255,2675.403747815429
4184.878506584439,2667.925481784241
4102.642420890311,2655.494501940218
4021.3864505942847,2638.15986768163
3941.431275888796,2615.9899908904554
3863.0924433203627,2589.0723659419345
3786.6791204715246,2557.5132244042466
3712.492875817639,2521.4371157910405
3640.826488573883,2480.9864160214065
3571.962793229452,2436.320765527168
3506.173563329038,2387.6164392250316
3443.7184389068198,2335.065650840021
3384.843901805858,2278.8757943257215
3329.782302926874,2219.26862537509
3278.7509452453905,2156.479386252051
3231.951226216167,2090.755877397747
3189.567842949454,2022.3574794754115
3151.768063295879,1951.5541297133882
3118.701065716659,1878.6252565862146
3090.4973505443636,1803.8586770380903
3067.2682249577265,1727.5494606008913
3049.105363703061,1649.9987648895294
3036.0804472959157,1571.5126470704354
3028.2448791308325,1492.4008559937442
3025.6295826156284,1412.9756097560967
3028.2448791308325,1333.5503635184498
3036.0804472959157,1254.4385724417587
3049.105363703061,1175.9524546226644
3067.2682249577265,1098.4017589113027
3090.4973505443636,1022.0925424741033
3118.7010657166593,947.325962925979
3151.7680632958795,874.3970897988057
3189.5678429494546,803.5937400367825
3231.951226216167,735.195342114447
3278.7509452453905,669.4718332601431
3329.7823029268743,606.6825941371036
3384.843901805858,547.0754251864727
3443.7184389068198,490.88556867217267
3506.1735633290386,438.3347802871625
3571.9627932294516,389.6304539850263
3640.826488573884,344.9648034907875
3712.492875817639,304.51410372115356
3786.679120471525,268.43799510794724
3863.092443320363,236.87885357025948
3941.431275888796,209.96122862173888
4021.386450594285,187.7913518305636
4102.642420890311,170.45671757197601
4184.8785065844395,158.02573772795313
4267.770159416526,150.54747169676511
4350.990243902439,148.05143277794218
4434.2103283883525,150.54747169676511
4517.1019812204395,158.02573772795313
4599.338066914567,170.45671757197624
4680.594037210593,187.79135183056383
4760.549211916082,209.96122862173866
4838.888044484515,236.87885357025993
4915.3013673333535,268.4379951079475
4989.48761198724,304.514103721154
5061.1539992309945,344.964803490788
5130.0176945754265,389.63045398502663
5195.80692447584,438.33478028716286
5258.262048898058,490.8855686721729
5317.13658599902,547.0754251864732
5372.198184878004,606.682594137104
5423.2295425594875,669.4718332601441
5470.029261588711,735.1953421144476
5512.412644855423,803.5937400367826
5550.212424508999,874.3970897988063
5583.279422088219,947.3259629259795
5611.483137260515,1022.0925424741044
5634.712262847152,1098.4017589113032
5652.875124101817,1175.9524546226646
5665.900040508963,1254.4385724417593
5673.735608674046,1333.5503635184498
