time_min,distance_bin_um,mean_radius_um,std_radius_um,n_droplets,sem_radius_um
0.0,300.0,7.1981521831231605,1.3914202939634501,3,0.8033368812757062
0.0,3100.0,8.072551925532311,1.2845075134089268,10,0.4061969413971484
0.0,3300.0,8.94124603822161,1.3287741079105313,6,0.542469757967119
0.0,3500.0,8.708122088919676,1.0370488740404464,7,0.3919676311615098
3.0,500.0,7.796729520736647,1.70298899774766,3,0.9832211562765826
3.0,700.0,7.091935001811014,0.7339092863350897,4,0.36695464316754484
3.0,1100.0,7.482754680858465,1.5136908371390982,4,0.7568454185695491
3.0,1300.0,8.263046486184694,1.6689465858865642,8,0.5900617241592632
3.0,1500.0,7.821681342489642,1.7151547368669189,21,0.3742774481073677
3.0,1700.0,7.88300988539536,2.2629101722103684,21,0.49380748357331283
3.0,1900.0,10.347215589993397,3.360151022179122,8,1.1879927867968834
3.0,2100.0,9.099009464997723,2.7355046321381598,11,0.8247856797346773
3.0,2300.0,8.215230961448327,1.2273034808796635,10,0.38810743798326497
3.0,2500.0,8.530132088877458,1.8096519737232786,52,0.25095357623091896
3.0,2700.0,9.36194185991955,1.9465796302214071,40,0.30778126391939903
3.0,2900.0,8.162100494488632,1.8572591397832015,45,0.2768638458925348
3.0,3100.0,8.273995300238937,1.6375014183095704,56,0.21882033134538606
3.0,3300.0,9.038346184060154,2.1058978677819793,39,0.33721353766999784
3.0,3500.0,8.513364460958117,1.7805695607822436,35,0.3009711880270398
3.0,3700.0,7.461604360387319,0.7826269273509731,7,0.29580517415904134
3.5,300.0,6.462295793186573,1.031442361340137,15,0.2663172725362135
3.5,500.0,7.7879326860077525,2.0519835990298687,49,0.2931405141471241
3.5,700.0,8.233076896149145,2.7265759522947848,29,0.5063124435267973
3.5,900.0,8.56683976258504,2.021810515988356,11,0.6095988071571113
3.5,1100.0,9.015172189813343,1.3931988607056722,5,0.6230574717426287
3.5,1500.0,9.911460448143366,2.37852376148914,3,1.3732413339696765
3.5,1700.0,9.286326788877203,2.7339179025830513,11,0.8243072627730352
3.5,1900.0,10.88508844455228,2.5239297220166974,17,0.6121428726770978
3.5,2100.0,10.42554614595663,2.09822308371418,21,0.4578698145725663
3.5,2300.0,9.948130411323204,2.117440614652658,35,0.3579127889217318
3.5,2500.0,10.878484453897476,2.03587508019952,60,0.2628303426857143
3.5,2700.0,10.552644623198665,2.0774420231312076,41,0.3244419358578773
3.5,2900.0,10.075455972767264,2.0882735520753344,48,0.30141632435806753
3.5,3100.0,9.866136291102798,2.0450211454522425,65,0.2536536550054879
3.5,3300.0,9.937483477488739,2.035426045077446,66,0.25054362666674934
3.5,3500.0,10.45462736679917,2.4611731931833347,39,0.39410311961901845
3.5,3700.0,9.182472514528843,2.094507294331682,3,1.2092643502020313
4.0,100.0,7.100204566985514,0.4194054170244002,3,0.2421438304186247
