x,y
5617.926829268293,1301.9024390243917
5615.19339295446,1381.9585948927306
5607.003871637306,1461.698805688036
5593.39058561603,1540.8083732281355
5574.407260311242,1618.975088191672
5550.128814235262,1695.8904622656596
5520.651063322986,1771.2509456079206
5486.090342790161,1844.7591248196325
5446.58304801144,1916.1248967001393
5402.285096230145,1985.0666131517487
5353.371311224152,2051.3121927161005
5300.034733356294,2114.6001943553806
5242.485857732251,2174.6808492406562
5180.951803472532,2231.3170464753357
5115.675417377064,2284.285268863551
5046.914315519823,2333.376475030415
4974.939866555877,2378.3969244128257
4900.036120753292,2419.168941864957
4822.498688976484,2455.5316188608895
4742.633576045191,2487.341448527046
4660.7559730732555,2514.4728919982635
4577.1890135532885,2536.8188738623385
4492.262498096403,2554.291204737762
4406.311592859872,2566.8209293169166
4319.675506799432,2574.358598501176
4232.6961529665,2576.874464553902
4145.716799133569,2574.358598501176
4059.0807130731287,2566.8209293169166
3973.129807836598,2554.2912047377617
3888.2032923797124,2536.8188738623385
3804.636332859745,2514.4728919982635
3722.7587298878093,2487.341448527046
3642.893616956517,2455.531618860889
3565.356185179708,2419.1689418649567
3490.452439377123,2378.3969244128252
3418.4779904131783,2333.376475030415
3349.7168885559363,2284.285268863551
3284.4405024604685,2231.3170464753357
3222.9064482007493,2174.6808492406562
3165.357572576707,2114.60019435538
3112.020994708849,2051.3121927161005
3063.107209702855,1985.0666131517487
3018.809257921561,1916.1248967001393
2979.3019631428388,1844.7591248196322
2944.7412426100145,1771.2509456079201
2915.2634916977386,1695.8904622656594
2890.985045621759,1618.975088191672
2872.001720316971,1540.8083732281352
2858.388434295696,1461.6988056880357
2850.1989129785406,1381.9585948927304
2847.465476664708,1301.9024390243912
2850.1989129785406,1221.8462831560528
2858.388434295696,1142.1060723607475
2872.001720316971,1062.9965048206477
2890.985045621759,984.8297898571111
2915.2634916977386,907.9144157831233
2944.7412426100145,832.5539324408625
2979.301963142839,759.045753229151
3018.8092579215613,687.679981348644
3063.1072097028555,618.7382648970345
3112.0209947088492,552.4926853326826
3165.3575725767073,489.20468369340256
3222.9064482007493,429.12402880812715
3284.4405024604685,372.48783157344747
3349.7168885559367,319.5196091852322
3418.4779904131783,270.4284030183685
3490.4524393771235,225.4079536359577
3565.3561851797085,184.6359361838263
3642.8936169565177,148.27325918789393
3722.7587298878097,116.46342952173745
3804.636332859745,89.33198605052007
3888.203292379713,66.98600418644469
3973.129807836598,49.51367331102142
4059.0807130731296,36.983948731866576
4145.716799133569,29.446279547607674
4232.6961529665,26.93041349488135
4319.675506799433,29.446279547607674
4406.311592859872,36.983948731866576
4492.262498096403,49.51367331102165
4577.1890135532885,66.98600418644492
4660.7559730732555,89.33198605051984
4742.633576045192,116.46342952173791
4822.498688976484,148.27325918789415
4900.036120753293,184.63593618382674
4974.939866555878,225.40795363595817
5046.9143155198235,270.42840301836895
5115.675417377065,319.51960918523264
5180.951803472532,372.4878315734477
5242.485857732252,429.1240288081277
5300.034733356294,489.204683693403
5353.371311224153,552.4926853326837
5402.285096230146,618.738264897035
5446.58304801144,687.6799813486441
5486.090342790162,759.0457532291516
5520.651063322986,832.553932440863
5550.128814235262,907.9144157831245
5574.407260311242,984.8297898571118
5593.39058561603,1062.996504820648
5607.003871637306,1142.1060723607482
5615.19339295446,1221.8462831560528
