time_min,distance_bin_um,mean_radius_um,std_radius_um,n_droplets,sem_radius_um
4.5,2900.0,17.675309404601943,2.2256382362917932,25,0.4451276472583586
4.5,3100.0,18.844278119985415,2.170564380579749,33,0.37784675947225393
4.5,3300.0,19.03452343499593,1.9284401793373398,37,0.3170336125620203
4.5,3500.0,18.890294627374793,2.5437951870042244,16,0.6359487967510561
5.0,2100.0,19.8982715036875,2.288440926219902,4,1.144220463109951
5.0,2300.0,24.24969093283919,4.683712949511257,16,1.1709282373778143
5.0,2500.0,26.736914293606354,2.939839445538991,18,0.6929268025134402
5.0,2700.0,24.1307624729642,3.529402620600012,17,0.8560058705920954
5.0,2900.0,19.12249172176897,2.64076994343333,30,0.48213642240002536
5.0,3100.0,17.97197218303107,2.7277040169856996,35,0.461066131119106
5.0,3300.0,18.007050852835683,3.0595142231044994,40,0.48375167393453866
5.0,3500.0,17.288984860816683,3.128459787434646,16,0.7821149468586615
5.5,1100.0,18.638583365210973,4.044112089176779,3,2.3348692033192333
5.5,1300.0,20.672880095321904,1.48117541606536,14,0.39586078118778
5.5,1500.0,20.28534181696492,3.079790157499376,14,0.8231085423229443
5.5,1700.0,21.200631627234653,3.5522052185845223,11,1.071030171671568
5.5,1900.0,22.07439623785463,3.834127881615314,12,1.1068173822790257
5.5,2100.0,24.741663468532828,5.958610851884836,17,1.445175407310165
5.5,2300.0,28.054926272439044,5.59363271199572,25,1.118726542399144
5.5,2500.0,25.853266141590524,7.045244404645549,25,1.40904888092911
5.5,2700.0,20.978533025654908,6.389936734454254,53,0.8777253134410807
5.5,2900.0,17.808685803185245,3.77198277816885,115,0.35173920772421097
5.5,3100.0,18.48925645410858,3.3137144937763425,108,0.31886232583322266
5.5,3300.0,18.71394675886395,3.751969419951735,93,0.38906110485956824
5.5,3500.0,16.495759935540285,4.110202019273868,31,0.7382140750627432
6.0,1100.0,17.05165498062901,1.892016583222588,5,0.846135538928519
6.0,1300.0,17.330335596131064,2.467039458602708,14,0.6593440295531148
6.0,1500.0,19.881907197395154,4.112792545250775,15,1.061918468944151
6.0,1700.0,25.094725047394178,3.738356537595566,4,1.869178268797783
6.0,1900.0,22.402920625087994,7.850666698399709,5,3.5109248812631177
6.0,2100.0,28.005992081856643,7.075304630413003,15,1.8268358001955853
6.0,2300.0,27.744503670031204,6.640148633573954,42,1.0245971784066683
6.0,2500.0,28.891938271047945,7.860009179049532,46,1.1588951287545102
6.0,2700.0,23.200334728153933,7.390163291924212,72,0.8709390962992516
6.0,2900.0,19.284847583905062,3.7962300629113446,117,0.3509615934688395
