r_prime_um,beta,A,beta_se,r2,n_frames,epsilon_final,trial_id
0,0.6545554704860479,5.930765253779131,0.03461229163726598,0.9754519948540185,11,0.12276814462738281,agar.1
300,0.9832176118004446,3.145913308923055,0.02656136183780983,0.9934746967762823,11,0.1488672871466942,agar.1
600,0.9440565439935709,3.7831641576007464,0.03222170057867927,0.9896243861729782,11,0.12893119946757556,agar.1
900,0.6672420297973303,8.148233945360873,0.048171860316112494,0.9551922293014139,11,0.10492256780836927,agar.1
1200,0.8269276027727541,5.433280201439017,0.04456262289902374,0.9745291261377986,11,0.09314942419572722,agar.1
1500,0.8422797227461116,5.456356374368849,0.054180456211860364,0.9640965914506495,11,0.08299753936393055,agar.1
1800,1.0898942563075258,2.9552900477077206,0.0545811458216848,0.9779267936092176,11,0.07294450473172445,agar.1
2100,0.902113402441416,5.179329010596026,0.04719354528653323,0.9759609182808329,11,0.06713243080899496,agar.1
2400,1.0640997845214242,3.2884784495605253,0.06249491099655579,0.9698914233202783,11,0.0610597126042829,agar.1
2700,1.028298464511425,3.6715739845502404,0.046714830862914045,0.9817643621147033,11,0.05361534125463968,agar.1
3000,1.2429506141733284,2.2547827755782484,0.17338242280961438,0.865302285714741,10,0.013208735413223847,agar.1
0,0.7525616631466074,4.211513254509486,0.06186420185092516,0.9487116343302586,10,0.1288779424306603,agar.2
300,0.6763838210814233,6.457008156087621,0.029699699817412443,0.9829435446297551,11,0.16477620216935535,agar.2
600,0.48219447255486125,11.279721239110984,0.03686009718867457,0.9500366701291041,11,0.14781554310949976,agar.2
900,0.5396726368987939,10.220108016784975,0.05680754899774505,0.9185753190180951,10,0.11871665752627611,agar.2
1200,0.5612529636347326,9.86542191478934,0.05458128422239467,0.9379089605764039,9,0.10079752454578901,agar.2
1500,0.7753655467457815,5.908409157066805,0.0693524179602603,0.9398469907902034,10,0.08341349829215843,agar.2
1800,0.9196743122469616,4.093663330235914,0.03966515097428175,0.9835342279544526,11,0.08148247447541065,agar.2
2100,0.8404398885257709,5.342245282702736,0.05491072496666793,0.9630026158904583,11,0.07030348330199329,agar.2
2400,0.7365542349735676,6.790013643550219,0.04991607386512161,0.9603061174376947,11,0.06248175128966471,agar.2
2700,0.5293107201065591,13.01279976388602,0.05043209119689823,0.9402505114241174,9,0.06298116207252384,agar.2
3000,0.7754246927565247,6.250525787670231,0.060559224288756194,0.9479626593516579,11,0.04509333663258809,agar.2
0,0.9489285451424906,3.8678063790056085,0.047017920924824375,0.9783822302867295,11,0.14899178171290361,agar.3
300,0.8187869169616533,5.697609716868204,0.033367464282634686,0.9852733533620623,11,0.1352427010648785,agar.3
600,0.6600007751067144,8.548485410002,0.048517904689912475,0.9585595677915594,10,0.11506513094711308,agar.3
900,0.848206147081697,5.266717947517497,0.0420508383319359,0.9783585166408321,11,0.09575884846085175,agar.3
1200,0.9817139755381641,4.001911365280903,0.05298391401845837,0.9744540532135498,11,0.07934274688071082,agar.3
1500,0.7206738001992156,7.572867471416224,0.027021092987893593,0.9875057412649813,11,0.07619987946449933,agar.3
1800,0.8357978456513863,5.967070248217232,0.02795270030376312,0.9900336188197101,11,0.07130020270677535,agar.3
2100,0.7370619697739177,8.217209498655759,0.04098231940109701,0.9729287319640643,11,0.06368117248646937,agar.3
2400,1.0675353778248229,3.707038793837202,0.06345290814069839,0.9691832442313483,11,0.056040142753597734,agar.3
2700,0.4944436856070927,15.857878441505733,0.0367042503226052,0.957776594973295,10,0.05199364084811501,agar.3
3000,0.3186820507697728,20.47904018938192,0.04514241353644878,0.8768392399828191,9,0.0061933657855704274,agar.3
0,0.873575313668578,3.2794176497878973,0.057547914003335504,0.9664473629757055,10,0.10468501664848882,agar.4
300,0.9918256568244513,2.504211432507832,0.06517788042925177,0.9625878493859747,11,0.13876082690393285,agar.4
600,0.6615752177375189,6.208898705068488,0.0309721495887364,0.9806561242572785,11,0.12742196918029844,agar.4
900,0.710619428576056,5.642191247222739,0.069869759359364,0.9366181446783549,9,0.11713707900296398,agar.4
1200,0.6620733247799765,6.595996224288123,0.04967633962711075,0.9517758919056947,11,0.09357387510259439,agar.4
1500,0.6646074351668313,6.699514447354153,0.04630402663094002,0.9581419038736801,11,0.08509900341264791,agar.4
1800,0.8152453700592726,4.529160193148989,0.05877307820950487,0.9553142592030812,11,0.07888666699412572,agar.4
2100,0.7656381609469625,5.398557084531111,0.027234896870664566,0.9887402422399745,11,0.0680996968049154,agar.4
2400,0.7822580448933225,5.626320653551911,0.032399000942121045,0.9847962039264997,11,0.0666345259846127,agar.4
2700,1.0462786489045326,2.89241694234417,0.07318819439860777,0.9578193324970202,11,0.0589488088113434,agar.4
3000,0.8043641469058133,5.560953503445491,0.046554873512375215,0.9707337203226487,11,0.045190698696195956,agar.4
3300,-0.010037992754040072,36.67521098794047,0.024658888194351525,0.02687594420845962,8,0.0031044616407911044,agar.4
0,0.8425113826765062,4.147860955196123,0.06269586467152254,0.9525270660618138,11,0.14781638002240546,agar.5
300,1.0620937787087228,2.6196048796179165,0.058600885836162596,0.9733322571784289,11,0.15503178444315852,agar.5
600,0.9577962338183581,3.6835170554493586,0.04892379721747476,0.9770566763819986,11,0.1285334421521687,agar.5
900,0.6928256779573186,7.468601437442313,0.025436679602707804,0.9880138848422427,11,0.10808779124238185,agar.5
1200,0.9193507689526721,4.17507103309997,0.019736312304006395,0.995869387810348,11,0.09034643386727717,agar.5
1500,0.8891223814398316,4.636662602277003,0.02556598046952698,0.992613739640565,11,0.08542173428434392,agar.5
1800,1.0729511043711344,3.043539810087734,0.07648537753327865,0.9562660971870677,11,0.07372326978173144,agar.5
2100,1.1930586884698833,2.524869578699272,0.07484689812625328,0.9657902938729825,11,0.06655431972963442,agar.5
2400,0.865633687670297,5.582960066920257,0.07916307056799572,0.9299993432078693,11,0.06225906683996151,agar.5
2700,1.0278404943274928,3.5042092128574605,0.03420008068127165,0.9901340408062448,11,0.055087636854566586,agar.5
0,1.2306208958061629,1.4263002795809396,0.14299876465858677,0.8916446590251254,11,0.18580987203338203,0.5to1.2
300,0.7201002853757728,6.88317706294816,0.09437710675249683,0.8791857945539892,10,0.23570131097662206,0.5to1.2
600,0.7980528624145528,6.85819590740526,0.06431920965327943,0.9506022785243097,10,0.16089542863163003,0.5to1.2
