group,n,system,delta_um_mean,delta_um_sem,max_slope_mean,max_slope_sem,alpha_mean,alpha_sem,y_near_mean,y_near_sem,y_far_mean,y_far_sem,r0_um_mean,r0_um_sem,transition_width_um_mean,transition_width_um_sem,zone_metric_mean,zone_metric_sem,dR_dr_um_per_mm_mean,dR_dr_um_per_mm_sem,pearson_r_mean,pearson_r_sem,dtau50_dr_mean,dtau50_dr_sem,dtau50_dr_sizematched_mean,dtau50_dr_sizematched_sem
Agar,5,Hydrogel,107.08,14.722071865060297,0.012992928916239039,0.0025623354550865715,0.0014857896944051202,0.0002956851090086898,32.5914835410128,7.8928344206118,54.918625087033774,2.5902606598990965,1127.012229778149,378.136344589376,1567.709333221744,285.1631781891886,0.2387892062934422,0.044565514485686686,,,,,-0.010597572362278278,0.03381549887784977,-0.1676885834618842,0.041912221742641156
0.5:1,5,Hydrogel,274.34,22.092659414384674,0.03968526956671546,0.0076305484444822505,0.0016570323134608,0.00034944549767762707,6.263474176462592,1.2752038915736066,57.406674320240214,5.469432457178612,367.05097177593984,27.30367517362937,1512.9106522298487,390.6724232871548,0.7275643395206156,0.06274398206199198,,,,,0.803375472996216,0.08628368622987999,0.38998419755044383,0.11762969759215772
1:1,5,Hydrogel,390.72,30.41562756215955,0.024961351287228338,0.005011843346409331,0.0012324979570046,0.00019149326846311195,7.3498073300400675,1.7246676627971402,46.966602194071115,4.573417516628649,528.9013134913124,63.05232324659447,1867.760871683832,412.5922995066304,0.9502129969837034,0.08907486394855609,,,,,1.0044117647058823,0.08213757726111477,0.8431594046978663,0.13139826189998566
2:1,5,Hydrogel,859.2,55.64322959713965,0.04126873142992566,0.006194099228836713,0.00220159747279502,0.0003371039222423468,9.94793300311606,2.7746548029777673,47.86229793462313,3.0545316799916353,1018.1221203310357,53.75987900356568,980.9714762104102,123.48960159583338,1.7151553585300114,0.1026207269022938,,,,,1.8455155955155953,0.16208961409018,1.481157731157731,0.1377126610784347
Green,5,Fungi,298.12,7.098126513383652,0.06487026957202727,0.010035118004126369,0.0066601078215800195,0.0027086907988665265,15.056394501738088,4.609952618034869,40.17852831010846,2.629548710173759,358.6340440368668,24.017179201124257,449.7188257230876,105.54077991004438,0.5248792838020455,0.08745300661502575,,,,,0.3627536979704162,0.026197141739077424,0.2592844762736404,0.04150110386359263
White,5,Fungi,139.85999999999999,14.785384675415111,0.0348754828760386,0.008606238213529661,0.00219106898024096,0.000830685458585173,11.849935657157987,3.6763559896806712,49.92476133867849,4.044526360730248,329.304808841907,85.84558280451917,1521.4574902776822,522.5011073425093,0.49037648585781934,0.0582969812545188,,,,,0.5610391844137974,0.1264964377380325,0.17821775025799796,0.10218562523914312
Black,5,Fungi,109.82000000000001,10.122420659111139,0.02623071382245228,0.008186564879621563,0.00211354966102446,0.0006059434540277576,9.002259947672764,2.036987979567646,33.06518066165223,3.677539440728089,123.51610981830684,46.87071484779691,1448.2135797105498,516.7138412084166,0.2732817085343603,0.03369040020357863,,,,,0.35948487357156084,0.22803737105616756,0.023348281620340444,0.019046722608130142
Healthy,3,Leaf,,,,,,,,,,,,,,,,,9.536666666666667,1.4139464079110087,0.5720666666666666,0.06966149901089157,,,,
Diseased,3,Leaf,,,,,,,,,,,,,,,,,11.556666666666667,2.134215963246873,0.5662666666666667,0.00554807273844811,,,,
