trial_id,group,system,a_w,n_droplets,delta_um,max_slope,alpha,y_near,y_far,r0_um,transition_width_um,zone_metric,dR_dr_um_per_mm,pearson_r,pearson_p,dtau50_dr,dtau50_dr_sizematched
agar.1,Agar,Hydrogel,1.0,2663,77.8,0.019651819889697,0.0008663615987829,13.06320646469929,58.42952906557278,,2308.5049046606528,0.3441397926794747,,,,0.10119047619047626,-0.041836273179556786
agar.2,Agar,Hydrogel,1.0,3185,92.4,0.0180448585559021,0.0009763793271839,15.380617469222107,52.34342086643761,50.00000000250616,2048.3842133041094,0.29290783309327406,,,,-0.0036764705882352854,-0.0931372549019607
agar.3,Agar,Hydrogel,1.0,2088,163.5,0.0110500331187189,0.0023675141077761,52.51408061525961,61.848794256394555,1676.0359301891704,844.7679333487047,0.17573089883820273,,,,-0.08928571428571445,-0.23601398601398604
agar.4,Agar,Hydrogel,1.0,4358,100.1,0.0058765445136389,0.0012237089564331,37.12282465929569,46.72730533706734,1630.8781590264964,1634.3755510539283,0.09819801779248252,,,,0.010212418300653609,-0.2205882352941177
agar.5,Agar,Hydrogel,1.0,2576,101.6,0.0103413885032383,0.0019949844818496,44.87668849658729,55.244075909696605,1151.1348298944235,1002.5140637413238,0.28296948906377695,,,,-0.07142857142857152,-0.24686716791979985
0.5to1.2,0.5:1,Hydrogel,0.93,1701,337.3,0.0662779835991232,0.0022698417588481,7.342365808402017,65.74113597884427,301.97923979065405,881.1186912936623,0.7021516357708302,,,,0.4963235294117647,0.11009933774834427
0.5to1.3,0.5:1,Hydrogel,0.93,2764,232.3,0.0287054653395034,0.0011717299057038,5.072176595535568,54.068903912589576,435.63680029155233,1706.8780017171998,0.6147303351406241,,,,1.0319917440660478,0.6740196078431371
0.5to1.4,0.5:1,Hydrogel,0.93,3072,236.9,0.0465077774735206,0.0025917847092196,10.734969082314958,46.62358074676457,366.12082190075057,771.6690328812836,0.625087396841014,,,,0.8174019607843137,0.2708333333333334
0.5to1.5,0.5:1,Hydrogel,0.93,3759,247.3,0.0328582470295092,0.0015693153166581,4.555420557911949,46.431322335868735,364.4670251208025,1274.4411392472923,0.7341646471937869,,,,0.8292483660130718,0.22735507246376824
0.5to1.7,0.5:1,Hydrogel,0.93,2500,317.9,0.0240768743919209,0.0006824898768744,3.6124388381484622,74.1684286271339,,2930.446396009806,0.9616876826568229,,,,0.8419117647058824,0.6676136363636362
1to1.1,1:1,Hydrogel,0.87,2507,420.5,0.0389635173807342,0.0013307924668849,6.2031264144835,64.75999136569307,621.1833594008041,1502.8639324067633,1.0255444453469833,,,,1.0845588235294117,1.318361126053434
1to1.2,1:1,Hydrogel,0.87,5105,286.6,0.0288721437625944,0.0017321260493319,5.12972430129894,38.46695605037478,368.5739742062154,1154.6503793828483,0.790979337289325,,,,0.8809523809523812,0.6373626373626375
1to1.3,1:1,Hydrogel,0.87,4207,420.1,0.0212665408795453,0.0011154899254469,6.412182905231955,44.5416906567674,488.18697834699185,1792.9341667506112,1.025420370014671,,,,1.2916666666666667,0.879120879120879
1to1.4,1:1,Hydrogel,0.87,4646,363.7,0.0084637994554763,0.0005768460760755,14.14435576579535,43.48944384564709,,3467.129417966615,0.7076166035041049,,,,0.904761904761905,0.5695970695970696
