R₀ band,Near cutoff,Far cutoff,Group,n near,n far,τ₅₀ near,τ₅₀ far,Δτ₅₀,p,valid
30–40,<1.2 mm,>2.2 mm,1:1,511,299,10,12,2,1.598e-20,True
30–40,<1.2 mm,>2.2 mm,2:1,250,280,8.5,11.67,3.167,7.658e-51,True
35–45,<0.8 mm,>1.8 mm,Agar,360,204,13.5,14.67,1.167,0.9251,True
35–45,<0.8 mm,>1.8 mm,1:1,129,510,8.5,11.67,3.167,9.779e-22,True
35–45,<0.8 mm,>1.8 mm,2:1,4,517,,,,,False
35–45,<0.8 mm,>2.0 mm,Agar,360,156,13.5,14.83,1.333,0.3753,True
35–45,<0.8 mm,>2.0 mm,1:1,129,426,8.5,11.67,3.167,2.842e-20,True
35–45,<0.8 mm,>2.0 mm,2:1,4,434,,,,,False
35–45,<1.0 mm,>2.0 mm,Agar,442,156,13.83,14.83,1,0.4575,True
35–45,<1.0 mm,>2.0 mm,1:1,237,426,8.833,11.67,2.833,4.185e-17,True
35–45,<1.0 mm,>2.0 mm,2:1,34,434,6.167,11.17,5,2.319e-19,True
35–45,<1.0 mm,>2.2 mm,Agar,442,124,13.83,15,1.167,0.3475,True
35–45,<1.0 mm,>2.2 mm,1:1,237,335,8.833,11.33,2.5,8.929e-13,True
35–45,<1.0 mm,>2.2 mm,2:1,34,347,6.167,11.33,5.167,1.061e-18,True
35–45,<1.2 mm,>2.2 mm,Agar,508,124,13.67,15,1.333,0.239,True
35–45,<1.2 mm,>2.2 mm,1:1,334,335,9.333,11.33,2,2.484e-08,True
35–45,<1.2 mm,>2.2 mm,2:1,123,347,6.833,11.33,4.5,1.545e-31,True
40–50,<0.8 mm,>1.8 mm,Agar,310,256,12,13.17,1.167,0.5512,True
40–50,<0.8 mm,>1.8 mm,1:1,79,421,7.333,10,2.667,3.355e-10,True
40–50,<0.8 mm,>1.8 mm,2:1,2,456,,,,,False
40–50,<0.8 mm,>2.0 mm,Agar,310,200,12,13.5,1.5,0.8082,True
40–50,<0.8 mm,>2.0 mm,1:1,79,354,7.333,9.833,2.5,2.391e-09,True
40–50,<0.8 mm,>2.0 mm,2:1,2,386,,,,,False
40–50,<1.0 mm,>2.0 mm,Agar,386,200,12.33,13.5,1.167,0.423,True
40–50,<1.0 mm,>2.0 mm,1:1,161,354,8.167,9.833,1.667,4.286e-07,True
40–50,<1.0 mm,>2.0 mm,2:1,13,386,3.5,10,6.5,1.979e-08,True
40–50,<1.0 mm,>2.2 mm,Agar,386,146,12.33,13.5,1.167,0.658,True
40–50,<1.0 mm,>2.2 mm,1:1,161,286,8.167,9.667,1.5,4.043e-05,True
40–50,<1.0 mm,>2.2 mm,2:1,13,300,3.5,10.17,6.667,1.134e-08,True
40–50,<1.2 mm,>2.2 mm,Agar,456,146,12.5,13.5,1,0.6368,True
40–50,<1.2 mm,>2.2 mm,1:1,228,286,8.333,9.667,1.333,0.0004182,True
40–50,<1.2 mm,>2.2 mm,2:1,57,300,6.167,10.17,4,5.699e-15,True
