trial_id,species,delta_um,max_slope,r0_um,alpha,y_near,y_far,transition_width_um
Green.1,Green,279.5,0.0649804555572463,415.1376352360349,0.004796180453076685,21.46920481121052,48.56595656731353,416.99848860295214
Green.2,Green,316.0,0.05161969770472484,404.9563303626254,0.004042001812904871,17.387681373749533,42.92933132547345,494.80433027382963
Green.3,Green,297.8,0.07398186510822267,306.15343087259873,0.004504775543131951,5.06558123062271,37.9115529776575,443.9732858719743
Green.4,Green,285.6,0.09644261902408344,300.4723960568793,0.017386173585214985,27.467049266821682,38.56122344510059,115.03393717987369
Green.5,Green,311.7,0.037326710465859225,366.4504276561956,0.0025714077135719853,3.892455826286003,32.924577234997244,777.7840866868081
white.1,White,198.5,0.045534865813398134,568.1332607698298,0.005330202469795636,26.055170075987796,43.14077463657552,375.2202681480281
white.2,White,126.2,0.030174040013997497,254.10824232876283,0.0013564144552022591,6.714897235990772,51.205782596687044,1474.4755869634064
white.3,White,120.0,0.06127681194955289,326.07741179073685,0.002299336930217341,11.860257648683417,65.1598077444241,869.8159776918615
white.4,White,131.6,0.026602471708576172,168.90032047829874,0.001389395161614734,6.629032571663427,44.922633188005264,1439.4752877040612
white.5,White,123.0,0.010789224894668666,,0.000579995884375011,7.990320753464521,45.19480852770059,3448.3003308810544
black.1,Black,125.4,0.00453381050199652,,0.0005884784060033394,10.664779412098989,26.073366900594845,3398.5953938106795
black.2,Black,98.0,0.027057476059429066,76.46914830172214,0.001516989499574182,7.363342295533403,43.035937349123536,1318.400688047873
black.3,Black,111.7,0.012989025796387216,50.00000000066082,0.00147144441861957,16.18241242977957,33.83720880812028,1359.2086623810721
black.4,Black,135.7,0.035809764171811795,259.5492291279022,0.003959208745182795,5.532198779532641,23.621552727026245,505.1514402804393
black.5,Black,78.3,0.05076349258263708,108.0460618429422,0.0030316272357427177,5.268566821419211,38.757837523396226,659.7117140326853
